,precision,recall,f1-score,support
Your nephew Maroun,0.0,0.0,0.0,19.0
Sister Victor N. Khoury,0.0,0.0,0.0,20.0
Your son George,0.5849056603773585,1.0,0.7380952380952381,31.0
Amin Farhat,0.0,0.0,0.0,25.0
Patriarch Elias Hoayek,0.0,0.0,0.0,18.0
Bishop Boulos Akl,0.0,0.0,0.0,13.0
Ameen Rihani,0.4126984126984127,1.0,0.5842696629213483,26.0
Shibli N. Damus,0.03333333333333333,0.06666666666666667,0.044444444444444446,15.0
Naoum Mokarzel,0.0,0.0,0.0,20.0
Eissa alKhouri,0.47368421052631576,1.0,0.6428571428571429,18.0
Girgi Dimitri Sursock,0.08571428571428572,0.2,0.12,15.0
Felix Faris,0.8942307692307693,0.6,0.7181467181467182,155.0
May Ziadeh,0.0,0.0,0.0,57.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.2222222222222222,0.1111111111111111,0.14814814814814814,90.0
Mohammed Amin al-Husseini ,1.0,0.05263157894736842,0.1,19.0
Prof. Ign. Kratchkovsky,0.0,0.0,0.0,13.0
Ibrahim Mejahid Al-Jaza'eri,0.0,0.0,0.0,25.0
Daoud Mujaes,0.0,0.0,0.0,18.0
Bechara El Khoury,0.9230769230769231,0.75,0.8275862068965517,16.0
Youssef Ibrahim Yazbek,0.6428571428571429,0.32142857142857145,0.42857142857142855,28.0
Elias Abu Shabaki,0.8,0.9230769230769231,0.8571428571428571,13.0
Elie Maroun Khalil,1.0,0.35294117647058826,0.5217391304347826,17.0
Aziz Khoury,0.0,0.0,0.0,14.0
Ghnatyos Mbarak,0.02702702702702703,0.06666666666666667,0.038461538461538464,15.0
Botros Feghaly,1.0,0.5714285714285714,0.7272727272727273,21.0
Toufiq Wehbeh,0.7096774193548387,1.0,0.8301886792452831,22.0
Bishop Mkhayel Akhrass,0.0,0.0,0.0,22.0
George Saad,0.7058823529411765,0.75,0.7272727272727273,48.0
Bishop Aghnathios Mbarak,0.410958904109589,0.5263157894736842,0.46153846153846156,57.0
Fathallah Khoury,0.5,1.0,0.6666666666666666,20.0
Elias Sarkis,0.9166666666666666,1.0,0.9565217391304348,22.0
Fouad Chehab,1.0,1.0,1.0,95.0
Hanna Moussa,1.0,0.9933774834437086,0.9966777408637874,302.0
Habib Massoud,1.0,1.0,1.0,20.0
Zaghloul,0.8947368421052632,1.0,0.9444444444444444,17.0
Father Youhanna Habib Baysari,0.7746478873239436,0.9482758620689655,0.8527131782945736,58.0
Mkhayel Daher,0.0,0.0,0.0,24.0
Father Youssef Hanna & Father Botros Hasan,0.8571428571428571,0.782608695652174,0.8181818181818182,23.0
Father Botros Hasan,0.38596491228070173,0.9166666666666666,0.5432098765432098,24.0
Father Youssef Hajj,0.0,0.0,0.0,20.0
Father Mkhayel Zreiby,0.0,0.0,0.0,13.0
Father Mikhael Hanna,0.0,0.0,0.0,34.0
Jean Philipp Kmeid,1.0,1.0,1.0,30.0
Michel Saykali,0.96,1.0,0.9795918367346939,24.0
Hanna Ghayth (Juan Gait),0.8571428571428571,1.0,0.9230769230769231,24.0
Yousef Hobeiche,0.9137931034482759,0.762589928057554,0.8313725490196079,139.0
Angele Ellis,0.21428571428571427,0.3333333333333333,0.2608695652173913,27.0
Khalil Yossuf Nader Raad,0.9,1.0,0.9473684210526315,18.0
Mansour Eid,1.0,1.0,1.0,23.0
Mkhayel Meneem,0.5789473684210527,0.88,0.6984126984126984,25.0
Constantine Elias,0.4166666666666667,1.0,0.5882352941176471,20.0
Maurice Gemayel,0.5238095238095238,0.9166666666666666,0.6666666666666666,12.0
Murshid Habashi,0.4878048780487805,0.9090909090909091,0.6349206349206349,22.0
Michel Kahwaji,0.5909090909090909,1.0,0.7428571428571429,13.0
Mayor of Kfarshima,0.20588235294117646,0.4375,0.28,32.0
Sohayl Tohmeh,0.532258064516129,1.0,0.6947368421052632,33.0
Shukri Kanaan,0.0,0.0,0.0,33.0
Emily Nasrallah,1.0,1.0,1.0,11.0
Joseph Oussani,1.0,1.0,1.0,23.0
Father Boulos El-Mender,0.46511627906976744,0.2702702702702703,0.3418803418803419,74.0
Salah Tizani,0.5,1.0,0.6666666666666666,20.0
Father Elias Bassil,0.0,0.0,0.0,12.0
Father Tobia al-Issa,0.0,0.0,0.0,12.0
Assad Darouich Zacharias,0.5517241379310345,0.9411764705882353,0.6956521739130435,17.0
Asaad Koury Tobia Attallah,0.0,0.0,0.0,12.0
Krouger Tobia Attallah,0.5714285714285714,1.0,0.7272727272727273,28.0
Toufic El Bacha,1.0,1.0,1.0,17.0
Catherine Yazbek Al-Badawi,0.0,0.0,0.0,17.0
Youssef Fadlallah Salemeh,0.7912087912087912,0.9863013698630136,0.8780487804878049,73.0
Bishop Youssef Darian,0.5666666666666667,1.0,0.723404255319149,17.0
Youssef Hanna El-Sawda,0.905982905982906,0.8907563025210085,0.8983050847457628,119.0
accuracy,0.6435803969218307,0.6435803969218307,0.6435803969218307,0.6435803969218307
macro avg,0.47590218030233566,0.5529701551196149,0.4855421011273398,2469.0
weighted avg,0.6159715051954423,0.6435803969218307,0.6088115708661023,2469.0
