Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),19.0
Sister Victor N. Khoury,0.3333 (0.4714),0.3167 (0.4478),0.3248 (0.4593),20.0
Your son George,0.4144 (0.2451),1.0000 (0.0000),0.5464 (0.2289),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Bishop Boulos Akl,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Ameen Rihani,0.5991 (0.2320),0.9052 (0.1341),0.6731 (0.1235),24.0
Shibli N. Damus,0.4403 (0.3980),0.4834 (0.2006),0.4321 (0.3110),103.0
Naoum Mokarzel,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),18.0
Eissa alKhouri,0.0938 (0.1326),0.3333 (0.4714),0.1463 (0.2070),43.0
Girgi Dimitri Sursock,0.1312 (0.1095),0.2349 (0.0718),0.1498 (0.0962),7.0
Felix Faris,0.7574 (0.2090),0.7953 (0.1448),0.7351 (0.0827),151.0
May Ziadeh,0.1552 (0.1261),0.6515 (0.4611),0.2458 (0.1913),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.3815 (0.3603),0.2416 (0.1022),0.2484 (0.1978),78.0
Mohammed Amin al-Husseini ,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Prof. Ign. Kratchkovsky,0.1944 (0.1416),0.0513 (0.0363),0.0809 (0.0573),13.0
Ibrahim Mejahid Al-Jaza'eri,0.2778 (0.2079),0.0267 (0.0189),0.0485 (0.0343),25.0
Daoud Mujaes,0.1828 (0.2585),0.3148 (0.4452),0.2313 (0.3271),18.0
Bechara El Khoury,0.7852 (0.1676),0.8750 (0.0884),0.8240 (0.1314),8.0
Youssef Ibrahim Yazbek,0.3333 (0.4714),0.2167 (0.3064),0.2626 (0.3714),20.0
Elias Abu Shabaki,0.6971 (0.2224),0.8998 (0.1048),0.7516 (0.0947),49.0
Elie Maroun Khalil,0.3333 (0.4714),0.0196 (0.0277),0.0370 (0.0524),22.0
Aziz Khoury,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),14.0
Ghnatyos Mbarak,0.0750 (0.0540),0.0825 (0.0853),0.0674 (0.0544),21.0
Botros Feghaly,0.5591 (0.4167),0.5456 (0.3886),0.5428 (0.3861),24.0
Toufiq Wehbeh,0.7968 (0.1090),0.9727 (0.0386),0.8698 (0.0594),21.0
Bishop Mkhayel Akhrass,0.2769 (0.3212),0.2023 (0.1977),0.2297 (0.2464),17.0
George Saad,0.6821 (0.2442),0.7398 (0.0913),0.6975 (0.1742),38.0
Bishop Aghnathios Mbarak,0.4176 (0.0394),0.8713 (0.1819),0.5522 (0.0134),15.0
Fathallah Khoury,0.5253 (0.4098),0.5667 (0.4089),0.5247 (0.3754),14.0
Elias Sarkis,0.7397 (0.1579),1.0000 (0.0000),0.8406 (0.1085),20.0
Fouad Chehab,0.9328 (0.0951),1.0000 (0.0000),0.9626 (0.0529),11.0
Hanna Moussa,0.9872 (0.0181),0.9967 (0.0047),0.9918 (0.0083),25.0
Habib Massoud,0.6522 (0.4615),0.6154 (0.4397),0.6327 (0.4493),26.0
Zaghloul,0.9292 (0.0501),0.9904 (0.0136),0.9577 (0.0195),25.0
Father Youhanna Habib Baysari,0.7156 (0.1189),0.9770 (0.0325),0.8188 (0.0790),23.0
Mkhayel Daher,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Father Youssef Hanna & Father Botros Hasan,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),23.0
Father Botros Hasan,0.3136 (0.1067),0.9306 (0.0708),0.4572 (0.1220),19.0
Father Youssef Hajj,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Father Mkhayel Zreiby,0.3695 (0.3765),0.6296 (0.4475),0.4318 (0.3874),39.0
Father Mikhael Hanna,0.3333 (0.4714),0.0202 (0.0286),0.0381 (0.0539),33.0
Jean Philipp Kmeid,1.0000 (0.0000),1.0000 (0.0000),1.0000 (0.0000),27.0
Michel Saykali,0.7969 (0.1453),1.0000 (0.0000),0.8795 (0.0930),14.0
