,precision,recall,f1-score,support
Your nephew Maroun,0.0,0.0,0.0,19.0
Sister Victor N. Khoury,1.0,0.95,0.9743589743589743,20.0
Your son George,0.19298245614035087,1.0,0.3235294117647059,11.0
Amin Farhat,0.0,0.0,0.0,21.0
Patriarch Elias Hoayek,0.0,0.0,0.0,16.0
Bishop Boulos Akl,0.0,0.0,0.0,16.0
Ameen Rihani,0.5581395348837209,1.0,0.7164179104477612,24.0
Shibli N. Damus,1.0,0.7669902912621359,0.8681318681318682,103.0
Naoum Mokarzel,0.0,0.0,0.0,18.0
Eissa alKhouri,0.0,0.0,0.0,43.0
Girgi Dimitri Sursock,0.045454545454545456,0.2857142857142857,0.0784313725490196,7.0
Felix Faris,0.8435374149659864,0.8211920529801324,0.8322147651006712,151.0
May Ziadeh,0.3088235294117647,0.9545454545454546,0.4666666666666667,22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.8787878787878788,0.3717948717948718,0.5225225225225225,78.0
Mohammed Amin al-Husseini ,0.0,0.0,0.0,13.0
Prof. Ign. Kratchkovsky,0.25,0.07692307692307693,0.11764705882352941,13.0
Ibrahim Mejahid Al-Jaza'eri,0.5,0.04,0.07407407407407407,25.0
Daoud Mujaes,0.5483870967741935,0.9444444444444444,0.6938775510204082,18.0
Bechara El Khoury,1.0,1.0,1.0,8.0
Youssef Ibrahim Yazbek,1.0,0.65,0.7878787878787878,20.0
Elias Abu Shabaki,1.0,0.7551020408163265,0.8604651162790697,49.0
Elie Maroun Khalil,0.0,0.0,0.0,22.0
Aziz Khoury,0.0,0.0,0.0,14.0
Ghnatyos Mbarak,0.125,0.047619047619047616,0.06896551724137931,21.0
Botros Feghaly,0.6774193548387096,0.875,0.7636363636363637,24.0
Toufiq Wehbeh,0.84,1.0,0.9130434782608695,21.0
Bishop Mkhayel Akhrass,0.7272727272727273,0.47058823529411764,0.5714285714285714,17.0
George Saad,1.0,0.868421052631579,0.9295774647887324,38.0
Bishop Aghnathios Mbarak,0.38461538461538464,1.0,0.5555555555555556,15.0
Fathallah Khoury,0.0,0.0,0.0,14.0
Elias Sarkis,0.7692307692307693,1.0,0.8695652173913043,20.0
Fouad Chehab,1.0,1.0,1.0,11.0
Hanna Moussa,0.9615384615384616,1.0,0.9803921568627451,25.0
Habib Massoud,0.9565217391304348,0.8461538461538461,0.8979591836734694,26.0
Zaghloul,0.8928571428571429,1.0,0.9433962264150944,25.0
Father Youhanna Habib Baysari,0.7931034482758621,1.0,0.8846153846153846,23.0
Mkhayel Daher,0.0,0.0,0.0,24.0
Father Youssef Hanna & Father Botros Hasan,0.0,0.0,0.0,23.0
Father Botros Hasan,0.18095238095238095,1.0,0.3064516129032258,19.0
Father Youssef Hajj,0.0,0.0,0.0,21.0
Father Mkhayel Zreiby,0.8863636363636364,1.0,0.9397590361445783,39.0
Father Mikhael Hanna,1.0,0.06060606060606061,0.11428571428571428,33.0
Jean Philipp Kmeid,1.0,1.0,1.0,27.0
Michel Saykali,0.8235294117647058,1.0,0.9032258064516129,14.0
Hanna Ghayth (Juan Gait),0.6842105263157895,1.0,0.8125,13.0
Yousef Hobeiche,0.6296296296296297,1.0,0.7727272727272727,17.0
Angele Ellis,0.3870967741935484,0.4444444444444444,0.41379310344827586,27.0
Khalil Yossuf Nader Raad,0.5365853658536586,1.0,0.6984126984126984,22.0
Mansour Eid,0.6692307692307692,0.9354838709677419,0.7802690582959642,93.0
Mkhayel Meneem,0.6578947368421053,1.0,0.7936507936507936,25.0
Constantine Elias,0.7083333333333334,1.0,0.8292682926829268,17.0
Maurice Gemayel,0.3125,0.9090909090909091,0.46511627906976744,11.0
Murshid Habashi,0.41509433962264153,0.8461538461538461,0.5569620253164557,26.0
Michel Kahwaji,0.96,0.6808510638297872,0.7966804979253111,141.0
Mayor of Kfarshima,0.3793103448275862,1.0,0.55,33.0
Sohayl Tohmeh,0.5645161290322581,0.9722222222222222,0.7142857142857143,36.0
Shukri Kanaan,0.0,0.0,0.0,33.0
Emily Nasrallah,1.0,1.0,1.0,11.0
Joseph Oussani,0.9805194805194806,0.9869281045751634,0.9837133550488599,153.0
Father Boulos El-Mender,0.0,0.0,0.0,20.0
Salah Tizani,0.9705882352941176,1.0,0.9850746268656716,297.0
Father Elias Bassil,0.0,0.0,0.0,17.0
Father Tobia al-Issa,0.0,0.0,0.0,13.0
Assad Darouich Zacharias,0.0,0.0,0.0,25.0
Asaad Koury Tobia Attallah,0.0,0.0,0.0,10.0
Krouger Tobia Attallah,0.25,0.3225806451612903,0.28169014084507044,31.0
Toufic El Bacha,1.0,0.775,0.8732394366197183,40.0
Catherine Yazbek Al-Badawi,0.0,0.0,0.0,17.0
Youssef Fadlallah Salemeh,0.6984126984126984,0.7333333333333333,0.7154471544715447,60.0
Bishop Youssef Darian,0.9814814814814815,1.0,0.9906542056074766,53.0
Youssef Hanna El-Sawda,0.35,1.0,0.5185185185185185,21.0
accuracy,0.6951071572988273,0.6951071572988273,0.6951071572988273,0.6951071572988273
macro avg,0.49690029236405286,0.5829744112755509,0.4998602330009113,2473.0
weighted avg,0.6775324575670193,0.6951071572988273,0.6565577135934516,2473.0
