,precision,recall,f1-score,support
Your nephew Maroun,0.75,0.47368421052631576,0.5806451612903226,19.0
Sister Victor N. Khoury,1.0,0.95,0.9743589743589743,20.0
Your son George,0.7058823529411765,0.7741935483870968,0.7384615384615385,31.0
Amin Farhat,0.0,0.0,0.0,25.0
Patriarch Elias Hoayek,0.0,0.0,0.0,18.0
Bishop Boulos Akl,0.0,0.0,0.0,13.0
Ameen Rihani,0.7027027027027027,1.0,0.8253968253968254,26.0
Shibli N. Damus,0.9375,1.0,0.967741935483871,15.0
Naoum Mokarzel,1.0,0.85,0.918918918918919,20.0
Eissa alKhouri,0.9473684210526315,1.0,0.972972972972973,18.0
Girgi Dimitri Sursock,0.4166666666666667,1.0,0.5882352941176471,15.0
Felix Faris,0.7530864197530864,0.7870967741935484,0.7697160883280757,155.0
May Ziadeh,0.09090909090909091,0.03508771929824561,0.05063291139240506,57.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.5510204081632653,0.3,0.38848920863309355,90.0
Mohammed Amin al-Husseini ,0.8181818181818182,0.9473684210526315,0.8780487804878049,19.0
Prof. Ign. Kratchkovsky,0.2,0.15384615384615385,0.17391304347826086,13.0
Ibrahim Mejahid Al-Jaza'eri,0.7931034482758621,0.92,0.8518518518518519,25.0
Daoud Mujaes,0.7777777777777778,0.7777777777777778,0.7777777777777778,18.0
Bechara El Khoury,0.42857142857142855,0.9375,0.5882352941176471,16.0
Youssef Ibrahim Yazbek,0.6153846153846154,0.2857142857142857,0.3902439024390244,28.0
Elias Abu Shabaki,0.8125,1.0,0.896551724137931,13.0
Elie Maroun Khalil,1.0,1.0,1.0,17.0
Aziz Khoury,1.0,0.21428571428571427,0.35294117647058826,14.0
Ghnatyos Mbarak,0.0,0.0,0.0,15.0
Botros Feghaly,0.7692307692307693,0.47619047619047616,0.5882352941176471,21.0
Toufiq Wehbeh,0.8,0.9090909090909091,0.851063829787234,22.0
Bishop Mkhayel Akhrass,0.3055555555555556,1.0,0.46808510638297873,22.0
George Saad,0.8666666666666667,0.5416666666666666,0.6666666666666666,48.0
Bishop Aghnathios Mbarak,0.7333333333333333,0.5789473684210527,0.6470588235294118,57.0
Fathallah Khoury,1.0,0.95,0.9743589743589743,20.0
Elias Sarkis,0.2857142857142857,0.9090909090909091,0.43478260869565216,22.0
Fouad Chehab,0.9893617021276596,0.9789473684210527,0.9841269841269841,95.0
Hanna Moussa,1.0,0.9834437086092715,0.991652754590985,302.0
Habib Massoud,0.3333333333333333,1.0,0.5,20.0
Zaghloul,0.9444444444444444,1.0,0.9714285714285714,17.0
Father Youhanna Habib Baysari,1.0,0.8620689655172413,0.9259259259259259,58.0
Mkhayel Daher,0.0,0.0,0.0,24.0
Father Youssef Hanna & Father Botros Hasan,0.26,0.5652173913043478,0.3561643835616438,23.0
Father Botros Hasan,0.2,0.20833333333333334,0.20408163265306123,24.0
Father Youssef Hajj,0.0,0.0,0.0,20.0
Father Mkhayel Zreiby,0.20689655172413793,0.46153846153846156,0.2857142857142857,13.0
Father Mikhael Hanna,0.0,0.0,0.0,34.0
Jean Philipp Kmeid,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
Michel Saykali,0.6857142857142857,1.0,0.8135593220338984,24.0
Hanna Ghayth (Juan Gait),0.9166666666666666,0.9166666666666666,0.9166666666666666,24.0
Yousef Hobeiche,0.9029126213592233,0.6690647482014388,0.768595041322314,139.0
Angele Ellis,0.6666666666666666,0.07407407407407407,0.13333333333333333,27.0
Khalil Yossuf Nader Raad,0.4594594594594595,0.9444444444444444,0.6181818181818182,18.0
Mansour Eid,0.8518518518518519,1.0,0.92,23.0
Mkhayel Meneem,1.0,0.76,0.8636363636363636,25.0
Constantine Elias,1.0,0.9,0.9473684210526315,20.0
Maurice Gemayel,0.7692307692307693,0.8333333333333334,0.8,12.0
Murshid Habashi,0.9444444444444444,0.7727272727272727,0.85,22.0
Michel Kahwaji,0.35135135135135137,1.0,0.52,13.0
Mayor of Kfarshima,0.28205128205128205,0.34375,0.30985915492957744,32.0
Sohayl Tohmeh,0.515625,1.0,0.6804123711340206,33.0
Shukri Kanaan,0.3181818181818182,0.21212121212121213,0.2545454545454545,33.0
Emily Nasrallah,1.0,1.0,1.0,11.0
Joseph Oussani,0.92,1.0,0.9583333333333334,23.0
Father Boulos El-Mender,0.8387096774193549,0.35135135135135137,0.49523809523809526,74.0
Salah Tizani,0.7407407407407407,1.0,0.851063829787234,20.0
Father Elias Bassil,0.1,0.08333333333333333,0.09090909090909091,12.0
Father Tobia al-Issa,0.0,0.0,0.0,12.0
Assad Darouich Zacharias,0.42424242424242425,0.8235294117647058,0.56,17.0
Asaad Koury Tobia Attallah,0.0,0.0,0.0,12.0
Krouger Tobia Attallah,0.352112676056338,0.8928571428571429,0.5050505050505051,28.0
Toufic El Bacha,0.9444444444444444,1.0,0.9714285714285714,17.0
Catherine Yazbek Al-Badawi,0.75,0.8823529411764706,0.8108108108108109,17.0
Youssef Fadlallah Salemeh,0.7215189873417721,0.7808219178082192,0.75,73.0
Bishop Youssef Darian,0.8888888888888888,0.9411764705882353,0.9142857142857143,17.0
Youssef Hanna El-Sawda,0.9813084112149533,0.8823529411764706,0.9292035398230089,119.0
accuracy,0.6990684487646821,0.6990684487646821,0.6990684487646821,0.6990684487646821
macro avg,0.6096898722042775,0.6600241421345991,0.6018820750116148,2469.0
weighted avg,0.7115643502717208,0.6990684487646821,0.6808346474095953,2469.0
