Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.2424 (0.3428),0.1404 (0.1985),0.1778 (0.2514),19.0
Sister Victor N. Khoury,0.6667 (0.4714),0.3889 (0.4374),0.4286 (0.4206),20.0
Your son George,0.4983 (0.2827),0.9348 (0.0527),0.5937 (0.2273),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Bishop Boulos Akl,0.8333 (0.2357),0.0978 (0.0401),0.1735 (0.0671),16.0
Ameen Rihani,0.8184 (0.1437),0.8882 (0.1318),0.8299 (0.0370),24.0
Shibli N. Damus,0.8336 (0.1241),0.8900 (0.1556),0.8392 (0.0497),103.0
Naoum Mokarzel,0.9063 (0.0940),0.5630 (0.1736),0.6834 (0.1419),18.0
Eissa alKhouri,0.8572 (0.0091),0.8947 (0.0962),0.8726 (0.0445),43.0
Girgi Dimitri Sursock,0.3537 (0.1485),0.8810 (0.1214),0.4928 (0.1631),7.0
Felix Faris,0.6565 (0.2218),0.9029 (0.1146),0.7233 (0.1564),151.0
May Ziadeh,0.2879 (0.1942),0.5700 (0.4103),0.3696 (0.2741),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.6804 (0.3803),0.4157 (0.2073),0.4860 (0.2610),78.0
Mohammed Amin al-Husseini ,0.4167 (0.4249),0.3063 (0.3801),0.3440 (0.4061),13.0
Prof. Ign. Kratchkovsky,0.2167 (0.1650),0.1282 (0.0959),0.1541 (0.1092),13.0
Ibrahim Mejahid Al-Jaza'eri,0.9394 (0.0567),0.5733 (0.3222),0.6388 (0.3022),25.0
Daoud Mujaes,0.8915 (0.0444),0.9074 (0.0693),0.8983 (0.0479),18.0
Bechara El Khoury,0.6028 (0.0792),0.8125 (0.1350),0.6770 (0.0146),8.0
Youssef Ibrahim Yazbek,0.5824 (0.0227),0.7698 (0.1127),0.6606 (0.0527),20.0
Elias Abu Shabaki,0.8747 (0.1369),0.9679 (0.0235),0.9111 (0.0703),49.0
Elie Maroun Khalil,1.0000 (0.0000),0.9848 (0.0214),0.9922 (0.0110),22.0
Aziz Khoury,0.6296 (0.4475),0.2381 (0.2428),0.3152 (0.2877),14.0
Ghnatyos Mbarak,0.4000 (0.2828),0.0746 (0.0585),0.1245 (0.0951),21.0
Botros Feghaly,0.9501 (0.0376),0.5397 (0.0898),0.6835 (0.0690),24.0
Toufiq Wehbeh,0.8691 (0.0641),0.9076 (0.0989),0.8805 (0.0187),21.0
Bishop Mkhayel Akhrass,0.7131 (0.2620),0.8254 (0.2469),0.6845 (0.1396),17.0
George Saad,0.8353 (0.1226),0.7412 (0.0862),0.7825 (0.0936),38.0
Bishop Aghnathios Mbarak,0.6865 (0.0934),0.7673 (0.2833),0.7080 (0.1875),15.0
Fathallah Khoury,0.7270 (0.1467),0.7762 (0.2458),0.7443 (0.1914),14.0
Elias Sarkis,0.5381 (0.1311),0.9072 (0.0766),0.6693 (0.1188),20.0
Fouad Chehab,0.9930 (0.0099),0.9771 (0.0195),0.9849 (0.0108),11.0
Hanna Moussa,0.9215 (0.0536),0.9967 (0.0047),0.9567 (0.0262),25.0
Habib Massoud,0.7301 (0.2214),0.9608 (0.0555),0.8035 (0.1406),26.0
Zaghloul,0.9981 (0.0027),0.9961 (0.0054),0.9971 (0.0041),25.0
Father Youhanna Habib Baysari,0.9487 (0.0725),0.8933 (0.0613),0.9159 (0.0273),23.0
Mkhayel Daher,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
