Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),19.0
Sister Victor N. Khoury,1.0000 (0.0000),0.7704 (0.1391),0.8634 (0.0882),20.0
Your son George,0.4296 (0.1744),0.7141 (0.1303),0.4992 (0.1085),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Bishop Boulos Akl,0.1667 (0.2357),0.0208 (0.0295),0.0370 (0.0524),16.0
Ameen Rihani,0.6844 (0.1981),0.8455 (0.1919),0.7067 (0.0150),24.0
Shibli N. Damus,0.5822 (0.2595),0.7299 (0.2010),0.5649 (0.0861),103.0
Naoum Mokarzel,0.2381 (0.3367),0.0926 (0.1309),0.1333 (0.1886),18.0
Eissa alKhouri,0.7548 (0.2196),0.5579 (0.2613),0.5535 (0.1197),43.0
Girgi Dimitri Sursock,0.2131 (0.0443),0.2365 (0.1486),0.1933 (0.0660),7.0
Felix Faris,0.5957 (0.2919),0.6861 (0.0726),0.5978 (0.2250),151.0
May Ziadeh,0.0901 (0.0923),0.2285 (0.2574),0.1238 (0.1395),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.4691 (0.3438),0.2818 (0.1166),0.3311 (0.2073),78.0
Mohammed Amin al-Husseini ,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Prof. Ign. Kratchkovsky,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Ibrahim Mejahid Al-Jaza'eri,0.2222 (0.3143),0.0533 (0.0754),0.0860 (0.1217),25.0
Daoud Mujaes,0.2917 (0.4125),0.2593 (0.3666),0.2745 (0.3882),18.0
Bechara El Khoury,0.3052 (0.1476),0.2500 (0.1021),0.2325 (0.0593),8.0
Youssef Ibrahim Yazbek,0.0909 (0.1286),0.0500 (0.0707),0.0645 (0.0912),20.0
Elias Abu Shabaki,0.8039 (0.1687),0.7334 (0.0569),0.7523 (0.0607),49.0
Elie Maroun Khalil,0.6008 (0.2196),0.4211 (0.1983),0.4902 (0.2098),22.0
Aziz Khoury,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),14.0
Ghnatyos Mbarak,0.0667 (0.0943),0.0444 (0.0629),0.0533 (0.0754),21.0
Botros Feghaly,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Toufiq Wehbeh,0.5863 (0.1671),0.6406 (0.3223),0.5084 (0.1420),21.0
Bishop Mkhayel Akhrass,0.4615 (0.1499),0.4163 (0.1711),0.4136 (0.1405),17.0
George Saad,0.7302 (0.2866),0.0947 (0.0565),0.1655 (0.0945),38.0
Bishop Aghnathios Mbarak,0.4000 (0.0966),0.6347 (0.2505),0.4374 (0.0542),15.0
Fathallah Khoury,0.5022 (0.3634),0.1905 (0.1486),0.2193 (0.1196),14.0
Elias Sarkis,0.3711 (0.0272),0.7659 (0.1124),0.4986 (0.0462),20.0
Fouad Chehab,0.9522 (0.0373),0.9010 (0.0330),0.9255 (0.0299),11.0
Hanna Moussa,0.6462 (0.2039),0.9521 (0.0392),0.7486 (0.1251),25.0
Habib Massoud,0.3154 (0.2570),0.5346 (0.3969),0.3722 (0.2718),26.0
Zaghloul,0.8501 (0.1399),0.9827 (0.0245),0.9038 (0.0800),25.0
Father Youhanna Habib Baysari,0.7128 (0.2046),0.4738 (0.1523),0.5487 (0.1428),23.0
Mkhayel Daher,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Father Youssef Hanna & Father Botros Hasan,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),23.0
Father Botros Hasan,0.4502 (0.0829),0.4020 (0.2823),0.3917 (0.1817),19.0
Father Youssef Hajj,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Father Mkhayel Zreiby,0.3319 (0.2110),0.5712 (0.0301),0.3834 (0.1523),39.0
Father Mikhael Hanna,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),33.0
Jean Philipp Kmeid,0.3930 (0.1564),0.8534 (0.1576),0.4991 (0.1070),27.0
Michel Saykali,0.4578 (0.0640),1.0000 (0.0000),0.6253 (0.0621),14.0
Hanna Ghayth (Juan Gait),0.3631 (0.1311),0.8882 (0.0249),0.5014 (0.1457),13.0
Yousef Hobeiche,0.3763 (0.1780),0.8071 (0.0994),0.4810 (0.1347),17.0
Angele Ellis,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),27.0
Khalil Yossuf Nader Raad,0.3161 (0.1205),0.9074 (0.1309),0.4626 (0.1548),22.0
Mansour Eid,0.6788 (0.2600),0.6833 (0.2019),0.6071 (0.1357),93.0
Mkhayel Meneem,0.7982 (0.1013),0.7600 (0.1424),0.7766 (0.1193),25.0
Constantine Elias,0.4958 (0.0562),0.6098 (0.1729),0.5270 (0.0287),17.0
Maurice Gemayel,0.4103 (0.4275),0.1212 (0.1134),0.1389 (0.1039),11.0
