,precision,recall,f1-score,support
Your nephew Maroun,0.0,0.0,0.0,19.0
Sister Victor N. Khoury,1.0,0.7222222222222222,0.8387096774193549,18.0
Your son George,0.5172413793103449,1.0,0.6818181818181818,15.0
Amin Farhat,0.0,0.0,0.0,25.0
Patriarch Elias Hoayek,0.0,0.0,0.0,22.0
Bishop Boulos Akl,1.0,0.6923076923076923,0.8181818181818182,13.0
Ameen Rihani,0.9962825278810409,0.8375,0.9100169779286927,320.0
Shibli N. Damus,0.8695652173913043,1.0,0.9302325581395349,20.0
Naoum Mokarzel,1.0,0.75,0.8571428571428571,20.0
Eissa alKhouri,0.9230769230769231,1.0,0.96,36.0
Girgi Dimitri Sursock,0.34285714285714286,0.8571428571428571,0.4897959183673469,14.0
Felix Faris,0.5333333333333333,1.0,0.6956521739130435,24.0
May Ziadeh,0.3142857142857143,0.8461538461538461,0.4583333333333333,13.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.3125,0.38461538461538464,0.3448275862068966,13.0
Mohammed Amin al-Husseini ,0.0,0.0,0.0,17.0
Prof. Ign. Kratchkovsky,0.23529411764705882,0.3076923076923077,0.26666666666666666,13.0
Ibrahim Mejahid Al-Jaza'eri,1.0,0.32,0.48484848484848486,25.0
Daoud Mujaes,0.85,0.9444444444444444,0.8947368421052632,18.0
Bechara El Khoury,0.6086956521739131,0.875,0.717948717948718,16.0
Youssef Ibrahim Yazbek,0.7333333333333333,0.9166666666666666,0.8148148148148148,24.0
Elias Abu Shabaki,1.0,0.9444444444444444,0.9714285714285714,18.0
Elie Maroun Khalil,0.9545454545454546,1.0,0.9767441860465116,21.0
Aziz Khoury,0.0,0.0,0.0,12.0
Ghnatyos Mbarak,1.0,0.08108108108108109,0.15,37.0
Botros Feghaly,1.0,0.5238095238095238,0.6875,21.0
Toufiq Wehbeh,1.0,0.9672131147540983,0.9833333333333333,61.0
Bishop Mkhayel Akhrass,1.0,0.7619047619047619,0.8648648648648649,21.0
George Saad,0.7272727272727273,0.8421052631578947,0.7804878048780488,19.0
Bishop Aghnathios Mbarak,0.7391304347826086,1.0,0.85,17.0
Fathallah Khoury,0.8333333333333334,1.0,0.9090909090909091,20.0
Elias Sarkis,1.0,0.9375,0.967741935483871,16.0
Fouad Chehab,1.0,0.9523809523809523,0.975609756097561,21.0
Hanna Moussa,0.7,1.0,0.8235294117647058,21.0
Habib Massoud,1.0,1.0,1.0,34.0
Zaghloul,0.9771428571428571,0.9884393063583815,0.9827586206896551,173.0
Father Youhanna Habib Baysari,0.9583333333333334,1.0,0.9787234042553191,23.0
Mkhayel Daher,0.0,0.0,0.0,25.0
Father Youssef Hanna & Father Botros Hasan,0.0,0.0,0.0,23.0
Father Botros Hasan,0.6875,0.9166666666666666,0.7857142857142857,24.0
Father Youssef Hajj,0.0,0.0,0.0,20.0
Father Mkhayel Zreiby,0.34615384615384615,1.0,0.5142857142857142,18.0
Father Mikhael Hanna,0.0,0.0,0.0,17.0
Jean Philipp Kmeid,0.9190751445086706,0.8641304347826086,0.8907563025210085,184.0
Michel Saykali,0.7727272727272727,1.0,0.8717948717948718,17.0
Hanna Ghayth (Juan Gait),1.0,1.0,1.0,15.0
Yousef Hobeiche,0.8571428571428571,1.0,0.9230769230769231,18.0
Angele Ellis,0.09090909090909091,0.1,0.09523809523809523,10.0
Khalil Yossuf Nader Raad,0.6451612903225806,1.0,0.7843137254901961,20.0
Mansour Eid,0.92,1.0,0.9583333333333334,23.0
Mkhayel Meneem,0.9545454545454546,0.84,0.8936170212765957,25.0
Constantine Elias,0.76,0.95,0.8444444444444444,20.0
Maurice Gemayel,0.8333333333333334,0.9090909090909091,0.8695652173913043,11.0
Murshid Habashi,1.0,0.9545454545454546,0.9767441860465116,22.0
Michel Kahwaji,0.375,1.0,0.5454545454545454,15.0
Mayor of Kfarshima,0.3764705882352941,1.0,0.5470085470085471,32.0
Sohayl Tohmeh,0.6372549019607843,0.9848484848484849,0.7738095238095238,66.0
Shukri Kanaan,0.4444444444444444,0.12121212121212122,0.19047619047619047,33.0
Emily Nasrallah,1.0,1.0,1.0,11.0
Joseph Oussani,0.9913793103448276,0.9829059829059829,0.9871244635193133,117.0
Father Boulos El-Mender,0.4166666666666667,0.5,0.45454545454545453,20.0
Salah Tizani,0.9565217391304348,1.0,0.9777777777777777,286.0
Father Elias Bassil,0.16666666666666666,0.08333333333333333,0.1111111111111111,12.0
Father Tobia al-Issa,0.0,0.0,0.0,13.0
Assad Darouich Zacharias,0.45454545454545453,0.2,0.2777777777777778,25.0
Asaad Koury Tobia Attallah,1.0,0.25,0.4,20.0
Krouger Tobia Attallah,0.42857142857142855,0.9230769230769231,0.5853658536585366,26.0
Toufic El Bacha,0.8,1.0,0.8888888888888888,20.0
Catherine Yazbek Al-Badawi,1.0,0.058823529411764705,0.1111111111111111,17.0
Youssef Fadlallah Salemeh,0.35135135135135137,1.0,0.52,13.0
Bishop Youssef Darian,0.0,0.0,0.0,15.0
Youssef Hanna El-Sawda,0.5454545454545454,0.9,0.6792452830188679,20.0
accuracy,0.7868985038414881,0.7868985038414881,0.7868985038414881,0.7868985038414881
macro avg,0.631790124911485,0.6759332071691663,0.6130016909230884,2473.0
weighted avg,0.7842292577771808,0.7868985038414881,0.7581001999857035,2473.0
