Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),19.0
Sister Victor N. Khoury,0.6364 (0.4515),0.6667 (0.4714),0.6508 (0.4606),20.0
Your son George,0.5167 (0.3010),1.0000 (0.0000),0.6337 (0.2406),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Bishop Boulos Akl,0.4667 (0.4110),0.3814 (0.3141),0.4189 (0.3557),16.0
Ameen Rihani,0.9222 (0.1047),0.9396 (0.0854),0.9233 (0.0551),24.0
Shibli N. Damus,0.9052 (0.0677),0.8690 (0.1089),0.8829 (0.0687),103.0
Naoum Mokarzel,0.8137 (0.2231),0.6241 (0.2849),0.6972 (0.2763),18.0
Eissa alKhouri,0.8762 (0.1192),0.9302 (0.0987),0.9022 (0.1097),43.0
Girgi Dimitri Sursock,0.6397 (0.2410),0.8333 (0.1214),0.6722 (0.1491),7.0
Felix Faris,0.6722 (0.2349),0.9161 (0.1140),0.7462 (0.1745),151.0
May Ziadeh,0.3252 (0.2360),0.6002 (0.4267),0.4214 (0.3031),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.5589 (0.3210),0.5285 (0.2824),0.5118 (0.3051),78.0
Mohammed Amin al-Husseini ,0.3333 (0.4714),0.3333 (0.4714),0.3333 (0.4714),13.0
Prof. Ign. Kratchkovsky,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Ibrahim Mejahid Al-Jaza'eri,0.6667 (0.4714),0.6133 (0.4349),0.6386 (0.4519),25.0
Daoud Mujaes,0.7065 (0.3195),0.9630 (0.0524),0.7760 (0.2642),18.0
Bechara El Khoury,0.7544 (0.2684),0.9375 (0.0510),0.7980 (0.1745),8.0
Youssef Ibrahim Yazbek,0.9444 (0.0786),0.7262 (0.3872),0.7647 (0.3328),20.0
Elias Abu Shabaki,0.9679 (0.0453),0.9864 (0.0192),0.9769 (0.0327),49.0
Elie Maroun Khalil,0.8374 (0.2300),0.9545 (0.0643),0.8681 (0.1381),22.0
Aziz Khoury,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),14.0
Ghnatyos Mbarak,0.6000 (0.4320),0.0995 (0.0780),0.1702 (0.1314),21.0
Botros Feghaly,0.8772 (0.1737),0.9524 (0.0389),0.8999 (0.0895),24.0
Toufiq Wehbeh,0.8580 (0.0307),1.0000 (0.0000),0.9233 (0.0180),21.0
Bishop Mkhayel Akhrass,0.4500 (0.3366),0.6364 (0.4515),0.5242 (0.3811),17.0
George Saad,0.8158 (0.1304),0.9302 (0.0494),0.8617 (0.0617),38.0
Bishop Aghnathios Mbarak,0.7866 (0.1291),0.7324 (0.2085),0.7556 (0.1710),15.0
Fathallah Khoury,0.5802 (0.4237),0.6667 (0.4714),0.6170 (0.4405),14.0
Elias Sarkis,0.6982 (0.1756),0.9697 (0.0429),0.7975 (0.1257),20.0
Fouad Chehab,0.9710 (0.0410),1.0000 (0.0000),0.9848 (0.0214),11.0
Hanna Moussa,1.0000 (0.0000),0.9967 (0.0047),0.9983 (0.0024),25.0
Habib Massoud,0.8765 (0.1062),0.9804 (0.0277),0.9218 (0.0610),26.0
Zaghloul,0.9355 (0.0912),0.9961 (0.0054),0.9623 (0.0492),25.0
Father Youhanna Habib Baysari,0.8467 (0.2022),0.9368 (0.0894),0.8685 (0.1155),23.0
Mkhayel Daher,0.0435 (0.0615),0.0417 (0.0589),0.0426 (0.0602),24.0
Father Youssef Hanna & Father Botros Hasan,0.1746 (0.2469),0.3188 (0.4509),0.2256 (0.3191),23.0
Father Botros Hasan,0.3016 (0.0129),0.9583 (0.0340),0.4584 (0.0144),19.0
Father Youssef Hajj,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Father Mkhayel Zreiby,0.6044 (0.2421),0.7692 (0.2738),0.6756 (0.2567),39.0
Father Mikhael Hanna,0.3333 (0.4714),0.1515 (0.2143),0.2083 (0.2946),33.0
Jean Philipp Kmeid,0.9982 (0.0025),1.0000 (0.0000),0.9991 (0.0013),27.0
Michel Saykali,0.7583 (0.3140),1.0000 (0.0000),0.8195 (0.2410),14.0
Hanna Ghayth (Juan Gait),0.8249 (0.0957),1.0000 (0.0000),0.9011 (0.0556),13.0
Yousef Hobeiche,0.9638 (0.0453),0.9448 (0.0780),0.9512 (0.0384),17.0
Angele Ellis,0.8137 (0.2634),0.3173 (0.1866),0.3769 (0.1387),27.0
Khalil Yossuf Nader Raad,0.8400 (0.1497),0.9630 (0.0524),0.8935 (0.1087),22.0
Mansour Eid,0.8854 (0.0730),0.8386 (0.1984),0.8449 (0.1172),93.0
Mkhayel Meneem,0.9247 (0.1064),0.9200 (0.0327),0.9172 (0.0434),25.0
Constantine Elias,0.5565 (0.1316),1.0000 (0.0000),0.7052 (0.1164),17.0
Maurice Gemayel,0.8424 (0.1096),1.0000 (0.0000),0.9104 (0.0676),11.0
Murshid Habashi,0.9056 (0.0820),0.9697 (0.0429),0.9359 (0.0625),26.0
Michel Kahwaji,0.6874 (0.2346),0.9196 (0.1137),0.7466 (0.1137),141.0
Mayor of Kfarshima,0.3279 (0.0964),0.6196 (0.2779),0.4258 (0.1494),33.0
Sohayl Tohmeh,0.9117 (0.1145),1.0000 (0.0000),0.9499 (0.0656),36.0
Shukri Kanaan,0.4920 (0.3606),0.2424 (0.0990),0.3141 (0.1611),33.0
Emily Nasrallah,0.7071 (0.3119),1.0000 (0.0000),0.7827 (0.2507),11.0
Joseph Oussani,0.9405 (0.0842),0.9943 (0.0081),0.9644 (0.0443),153.0
Father Boulos El-Mender,0.7473 (0.2467),0.7473 (0.2467),0.7473 (0.2467),20.0
Salah Tizani,0.9729 (0.0200),1.0000 (0.0000),0.9861 (0.0102),297.0
Father Elias Bassil,0.1111 (0.1571),0.0278 (0.0393),0.0444 (0.0629),17.0
Father Tobia al-Issa,0.3333 (0.4714),0.0278 (0.0393),0.0513 (0.0725),13.0
Assad Darouich Zacharias,0.2963 (0.4190),0.3137 (0.4437),0.3048 (0.4310),25.0
Asaad Koury Tobia Attallah,0.2857 (0.4041),0.1000 (0.1414),0.1481 (0.2095),10.0
Krouger Tobia Attallah,0.2993 (0.2098),0.6989 (0.4258),0.4127 (0.2719),31.0
Toufic El Bacha,0.6962 (0.1444),0.9167 (0.1179),0.7828 (0.1147),40.0
Catherine Yazbek Al-Badawi,0.3333 (0.4714),0.1373 (0.1941),0.1944 (0.2750),17.0
Youssef Fadlallah Salemeh,0.6674 (0.2938),0.9141 (0.0940),0.7135 (0.2080),60.0
Bishop Youssef Darian,0.4286 (0.3291),0.6101 (0.4369),0.4896 (0.3523),53.0
Youssef Hanna El-Sawda,0.7628 (0.2415),0.9552 (0.0634),0.8180 (0.1542),21.0
accuracy,0.7706 (0.0171),0.7706 (0.0171),0.7706 (0.0171),0.7751718560452892
macro avg,0.6142 (0.0198),0.6777 (0.0125),0.6147 (0.0187),2473.0
weighted avg,0.7571 (0.0174),0.7706 (0.0171),0.7441 (0.0175),2473.0
