Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.2667 (0.3771),0.2105 (0.2977),0.2353 (0.3328),19.0
Sister Victor N. Khoury,0.6667 (0.4714),0.3722 (0.4142),0.4200 (0.4090),20.0
Your son George,0.6145 (0.1812),1.0000 (0.0000),0.7444 (0.1501),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Bishop Boulos Akl,0.3056 (0.4321),0.2821 (0.3989),0.2933 (0.4148),16.0
Ameen Rihani,0.7598 (0.1953),0.8861 (0.1347),0.7848 (0.0709),24.0
Shibli N. Damus,0.9475 (0.0384),0.9357 (0.0516),0.9395 (0.0091),103.0
Naoum Mokarzel,1.0000 (0.0000),0.7500 (0.1780),0.8443 (0.1262),18.0
Eissa alKhouri,0.8922 (0.1525),0.8450 (0.2193),0.8658 (0.1898),43.0
Girgi Dimitri Sursock,0.5952 (0.1875),0.7619 (0.2428),0.6396 (0.1639),7.0
Felix Faris,0.6572 (0.1992),0.9139 (0.1126),0.7451 (0.1485),151.0
May Ziadeh,0.2833 (0.2435),0.6410 (0.4544),0.3819 (0.3047),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.6660 (0.2849),0.5185 (0.2682),0.5379 (0.2694),78.0
Mohammed Amin al-Husseini ,0.3016 (0.4265),0.3333 (0.4714),0.3167 (0.4478),13.0
Prof. Ign. Kratchkovsky,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Ibrahim Mejahid Al-Jaza'eri,0.9861 (0.0196),0.6800 (0.3973),0.7177 (0.3568),25.0
Daoud Mujaes,0.9028 (0.1375),0.9630 (0.0262),0.9270 (0.0839),18.0
Bechara El Khoury,0.8139 (0.1430),0.9583 (0.0295),0.8755 (0.0951),8.0
Youssef Ibrahim Yazbek,1.0000 (0.0000),0.9405 (0.0842),0.9673 (0.0462),20.0
Elias Abu Shabaki,0.9667 (0.0471),0.9932 (0.0096),0.9790 (0.0228),49.0
Elie Maroun Khalil,0.8611 (0.1964),0.9153 (0.0604),0.8671 (0.0922),22.0
Aziz Khoury,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),14.0
Ghnatyos Mbarak,0.6667 (0.4714),0.1085 (0.0800),0.1860 (0.1357),21.0
Botros Feghaly,0.9222 (0.1100),0.7480 (0.2932),0.7758 (0.2015),24.0
Toufiq Wehbeh,0.9438 (0.0518),1.0000 (0.0000),0.9704 (0.0277),21.0
Bishop Mkhayel Akhrass,0.6760 (0.2454),0.6522 (0.4291),0.6263 (0.3858),17.0
George Saad,0.5093 (0.4085),0.6491 (0.4595),0.5546 (0.4087),38.0
Bishop Aghnathios Mbarak,0.7606 (0.1725),0.7503 (0.2742),0.7419 (0.2227),15.0
Fathallah Khoury,0.5741 (0.3405),0.6738 (0.4264),0.5962 (0.3666),14.0
Elias Sarkis,0.9141 (0.0681),0.9489 (0.0380),0.9305 (0.0504),20.0
Fouad Chehab,1.0000 (0.0000),1.0000 (0.0000),1.0000 (0.0000),11.0
Hanna Moussa,0.9720 (0.0200),0.9967 (0.0047),0.9840 (0.0079),25.0
Habib Massoud,0.6240 (0.4418),0.6667 (0.4714),0.6445 (0.4559),26.0
Zaghloul,0.9540 (0.0650),0.9981 (0.0027),0.9743 (0.0343),25.0
Father Youhanna Habib Baysari,1.0000 (0.0000),0.9368 (0.0894),0.9651 (0.0494),23.0
Mkhayel Daher,0.3833 (0.4403),0.0556 (0.0520),0.0721 (0.0559),24.0
Father Youssef Hanna & Father Botros Hasan,0.1050 (0.1485),0.3333 (0.4714),0.1597 (0.2259),23.0
Father Botros Hasan,0.3080 (0.0824),0.9583 (0.0340),0.4582 (0.0931),19.0
Father Youssef Hajj,0.3333 (0.4714),0.0476 (0.0673),0.0833 (0.1179),21.0
Father Mkhayel Zreiby,0.5547 (0.2101),0.8718 (0.1813),0.6691 (0.1985),39.0
Father Mikhael Hanna,0.3333 (0.4714),0.1616 (0.2286),0.2177 (0.3079),33.0
Jean Philipp Kmeid,1.0000 (0.0000),1.0000 (0.0000),1.0000 (0.0000),27.0
Michel Saykali,0.6008 (0.3256),1.0000 (0.0000),0.6955 (0.2735),14.0
Hanna Ghayth (Juan Gait),0.7354 (0.2109),1.0000 (0.0000),0.8303 (0.1421),13.0
Yousef Hobeiche,0.8271 (0.1168),0.9664 (0.0475),0.8835 (0.0424),17.0
Angele Ellis,0.6818 (0.2419),0.5111 (0.2852),0.5001 (0.1730),27.0
