Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.1000 (0.1414),0.0526 (0.0744),0.0690 (0.0975),19.0
Sister Victor N. Khoury,0.8788 (0.1714),0.7463 (0.2600),0.8006 (0.2271),20.0
Your son George,0.4730 (0.2288),0.6408 (0.1826),0.4812 (0.1220),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Bishop Boulos Akl,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Ameen Rihani,0.6028 (0.2595),0.8382 (0.2022),0.6253 (0.1129),24.0
Shibli N. Damus,0.6493 (0.2124),0.6310 (0.3572),0.5100 (0.2366),103.0
Naoum Mokarzel,0.6111 (0.4374),0.2130 (0.1609),0.3149 (0.2339),18.0
Eissa alKhouri,0.7856 (0.1134),0.5409 (0.2730),0.5829 (0.1700),43.0
Girgi Dimitri Sursock,0.3263 (0.1257),0.4619 (0.1755),0.3431 (0.1216),7.0
Felix Faris,0.5340 (0.2588),0.7358 (0.0720),0.5781 (0.2197),151.0
May Ziadeh,0.0952 (0.0835),0.3357 (0.2398),0.1453 (0.1210),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.4149 (0.2972),0.2345 (0.0976),0.2712 (0.1802),78.0
Mohammed Amin al-Husseini ,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Prof. Ign. Kratchkovsky,0.0833 (0.1179),0.0513 (0.0725),0.0635 (0.0898),13.0
Ibrahim Mejahid Al-Jaza'eri,0.4074 (0.2916),0.1467 (0.1050),0.2157 (0.1544),25.0
Daoud Mujaes,0.5889 (0.4184),0.3519 (0.3218),0.4217 (0.3464),18.0
Bechara El Khoury,0.2643 (0.1691),0.2292 (0.1284),0.1700 (0.0558),8.0
Youssef Ibrahim Yazbek,0.4286 (0.3086),0.1262 (0.0897),0.1940 (0.1372),20.0
Elias Abu Shabaki,0.8012 (0.1435),0.6753 (0.0728),0.7239 (0.0598),49.0
Elie Maroun Khalil,0.7458 (0.1883),0.4617 (0.1691),0.5250 (0.1152),22.0
Aziz Khoury,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),14.0
