,precision,recall,f1-score,support
Your nephew Maroun,0.3,0.15789473684210525,0.20689655172413793,19.0
Sister Victor N. Khoury,1.0,1.0,1.0,20.0
Your son George,0.7647058823529411,0.41935483870967744,0.5416666666666666,31.0
Amin Farhat,0.0,0.0,0.0,25.0
Patriarch Elias Hoayek,0.0,0.0,0.0,18.0
Bishop Boulos Akl,0.0,0.0,0.0,13.0
Ameen Rihani,0.5681818181818182,0.9615384615384616,0.7142857142857143,26.0
Shibli N. Damus,0.3611111111111111,0.8666666666666667,0.5098039215686274,15.0
Naoum Mokarzel,0.8333333333333334,0.25,0.38461538461538464,20.0
Eissa alKhouri,0.64,0.8888888888888888,0.7441860465116279,18.0
Girgi Dimitri Sursock,0.45,0.6,0.5142857142857142,15.0
Felix Faris,0.7054794520547946,0.6645161290322581,0.6843853820598007,155.0
May Ziadeh,0.0,0.0,0.0,57.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.4444444444444444,0.17777777777777778,0.25396825396825395,90.0
Mohammed Amin al-Husseini ,0.0,0.0,0.0,19.0
Prof. Ign. Kratchkovsky,0.25,0.15384615384615385,0.19047619047619047,13.0
Ibrahim Mejahid Al-Jaza'eri,0.6666666666666666,0.24,0.35294117647058826,25.0
Daoud Mujaes,0.8333333333333334,0.2777777777777778,0.4166666666666667,18.0
Bechara El Khoury,0.18181818181818182,0.375,0.24489795918367346,16.0
Youssef Ibrahim Yazbek,0.7142857142857143,0.17857142857142858,0.2857142857142857,28.0
Elias Abu Shabaki,0.6666666666666666,0.6153846153846154,0.64,13.0
Elie Maroun Khalil,0.6875,0.6470588235294118,0.6666666666666666,17.0
Aziz Khoury,0.0,0.0,0.0,14.0
Ghnatyos Mbarak,0.0,0.0,0.0,15.0
Botros Feghaly,0.0,0.0,0.0,21.0
Toufiq Wehbeh,0.5357142857142857,0.6818181818181818,0.6,22.0
Bishop Mkhayel Akhrass,0.3488372093023256,0.6818181818181818,0.46153846153846156,22.0
George Saad,0.7857142857142857,0.22916666666666666,0.3548387096774194,48.0
Bishop Aghnathios Mbarak,0.625,0.3508771929824561,0.449438202247191,57.0
Fathallah Khoury,0.4838709677419355,0.75,0.5882352941176471,20.0
Elias Sarkis,0.5277777777777778,0.8636363636363636,0.6551724137931034,22.0
Fouad Chehab,1.0,0.9578947368421052,0.978494623655914,95.0
Hanna Moussa,0.9278688524590164,0.9370860927152318,0.9324546952224053,302.0
Habib Massoud,0.5588235294117647,0.95,0.7037037037037037,20.0
Zaghloul,0.7083333333333334,1.0,0.8292682926829268,17.0
Father Youhanna Habib Baysari,1.0,0.5344827586206896,0.6966292134831461,58.0
Mkhayel Daher,0.0,0.0,0.0,24.0
Father Youssef Hanna & Father Botros Hasan,0.0,0.0,0.0,23.0
Father Botros Hasan,0.125,0.041666666666666664,0.0625,24.0
Father Youssef Hajj,0.0,0.0,0.0,20.0
Father Mkhayel Zreiby,0.11688311688311688,0.6923076923076923,0.2,13.0
Father Mikhael Hanna,0.0,0.0,0.0,34.0
Jean Philipp Kmeid,0.3972602739726027,0.9666666666666667,0.5631067961165048,30.0
Michel Saykali,0.5,1.0,0.6666666666666666,24.0
Hanna Ghayth (Juan Gait),0.5365853658536586,0.9166666666666666,0.676923076923077,24.0
Yousef Hobeiche,0.7293233082706767,0.697841726618705,0.7132352941176471,139.0
Angele Ellis,1.0,0.037037037037037035,0.07142857142857142,27.0
Khalil Yossuf Nader Raad,0.15730337078651685,0.7777777777777778,0.2616822429906542,18.0
Mansour Eid,0.7037037037037037,0.8260869565217391,0.76,23.0
Mkhayel Meneem,0.7272727272727273,0.64,0.6808510638297872,25.0
Constantine Elias,0.5,1.0,0.6666666666666666,20.0
Maurice Gemayel,0.075,0.25,0.11538461538461539,12.0
Murshid Habashi,0.36363636363636365,0.5454545454545454,0.43636363636363634,22.0
Michel Kahwaji,0.2708333333333333,1.0,0.4262295081967213,13.0
Mayor of Kfarshima,0.17647058823529413,0.46875,0.2564102564102564,32.0
Sohayl Tohmeh,0.25842696629213485,0.696969696969697,0.3770491803278688,33.0
Shukri Kanaan,0.3793103448275862,0.3333333333333333,0.3548387096774194,33.0
Emily Nasrallah,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
Joseph Oussani,0.9166666666666666,0.9565217391304348,0.9361702127659575,23.0
Father Boulos El-Mender,0.5862068965517241,0.22972972972972974,0.3300970873786408,74.0
Salah Tizani,0.36363636363636365,1.0,0.5333333333333333,20.0
Father Elias Bassil,0.0,0.0,0.0,12.0
Father Tobia al-Issa,0.0,0.0,0.0,12.0
Assad Darouich Zacharias,0.0,0.0,0.0,17.0
Asaad Koury Tobia Attallah,0.0,0.0,0.0,12.0
Krouger Tobia Attallah,0.3783783783783784,1.0,0.5490196078431373,28.0
Toufic El Bacha,0.625,0.5882352941176471,0.6060606060606061,17.0
Catherine Yazbek Al-Badawi,0.4,0.23529411764705882,0.2962962962962963,17.0
Youssef Fadlallah Salemeh,0.8867924528301887,0.6438356164383562,0.746031746031746,73.0
Bishop Youssef Darian,0.4838709677419355,0.8823529411764706,0.625,17.0
Youssef Hanna El-Sawda,0.9523809523809523,0.6722689075630253,0.7881773399014779,119.0
accuracy,0.5605508302956662,0.5605508302956662,0.5605508302956662,0.5605508302956662
macro avg,0.4378661957189939,0.48477386612083473,0.4114062480956073,2469.0
weighted avg,0.5891602192218802,0.5605508302956662,0.5355693811283083,2469.0
