Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.1111 (0.1571),0.0351 (0.0496),0.0533 (0.0754),19.0
Sister Victor N. Khoury,0.9259 (0.1048),0.7463 (0.2600),0.8125 (0.2105),20.0
Your son George,0.5329 (0.2222),0.6731 (0.1454),0.5610 (0.1807),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Bishop Boulos Akl,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Ameen Rihani,0.6367 (0.2424),0.7824 (0.2310),0.6232 (0.0294),24.0
Shibli N. Damus,0.6279 (0.1368),0.5597 (0.2940),0.5235 (0.2214),103.0
Naoum Mokarzel,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),18.0
Eissa alKhouri,0.8718 (0.1813),0.4296 (0.3539),0.4412 (0.2840),43.0
Girgi Dimitri Sursock,0.5293 (0.3577),0.2302 (0.1139),0.2333 (0.1088),7.0
Felix Faris,0.5485 (0.2820),0.7165 (0.0334),0.5650 (0.2202),151.0
May Ziadeh,0.0875 (0.0691),0.2343 (0.2527),0.1160 (0.1139),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.3426 (0.2319),0.1843 (0.0419),0.2129 (0.1132),78.0
Mohammed Amin al-Husseini ,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Prof. Ign. Kratchkovsky,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Ibrahim Mejahid Al-Jaza'eri,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),25.0
Daoud Mujaes,0.5833 (0.4249),0.2407 (0.3020),0.2704 (0.3109),18.0
Bechara El Khoury,0.1068 (0.0757),0.1458 (0.1062),0.1223 (0.0867),8.0
Youssef Ibrahim Yazbek,0.2222 (0.3143),0.0333 (0.0471),0.0580 (0.0820),20.0
Elias Abu Shabaki,0.8254 (0.2469),0.5622 (0.1922),0.6052 (0.1189),49.0
Elie Maroun Khalil,0.3185 (0.2340),0.1283 (0.1230),0.1776 (0.1584),22.0
Aziz Khoury,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),14.0
Ghnatyos Mbarak,0.0833 (0.1179),0.0222 (0.0314),0.0351 (0.0496),21.0
Botros Feghaly,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Toufiq Wehbeh,0.5521 (0.3180),0.5321 (0.3488),0.3621 (0.1424),21.0
Bishop Mkhayel Akhrass,0.5996 (0.3377),0.1745 (0.1008),0.2229 (0.1302),17.0
George Saad,0.2222 (0.3143),0.0351 (0.0496),0.0606 (0.0857),38.0
Bishop Aghnathios Mbarak,0.3069 (0.1252),0.5727 (0.2466),0.3365 (0.0181),15.0
Fathallah Khoury,0.1282 (0.1813),0.0833 (0.1179),0.1010 (0.1428),14.0
Elias Sarkis,0.3888 (0.0451),0.8587 (0.0359),0.5336 (0.0426),20.0
Fouad Chehab,0.7978 (0.2009),0.9245 (0.0757),0.8328 (0.1028),11.0
Hanna Moussa,0.6123 (0.2451),0.9455 (0.0476),0.7105 (0.1502),25.0
Habib Massoud,0.2578 (0.1874),0.4410 (0.3676),0.3060 (0.2175),26.0
Zaghloul,0.8999 (0.0129),0.9708 (0.0240),0.9338 (0.0138),25.0
Father Youhanna Habib Baysari,0.6493 (0.2267),0.4303 (0.1235),0.5081 (0.1487),23.0
Mkhayel Daher,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Father Youssef Hanna & Father Botros Hasan,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),23.0
Father Botros Hasan,0.2542 (0.0563),0.1886 (0.0962),0.1978 (0.0553),19.0
Father Youssef Hajj,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Father Mkhayel Zreiby,0.3011 (0.2259),0.4872 (0.1373),0.2959 (0.1032),39.0
Father Mikhael Hanna,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),33.0
Jean Philipp Kmeid,0.3616 (0.1602),0.8501 (0.1371),0.4693 (0.1082),27.0
Michel Saykali,0.4522 (0.0786),1.0000 (0.0000),0.6186 (0.0776),14.0
Hanna Ghayth (Juan Gait),0.3371 (0.1257),0.9222 (0.0685),0.4769 (0.1415),13.0
Yousef Hobeiche,0.4102 (0.1815),0.8742 (0.1092),0.5193 (0.1481),17.0
Angele Ellis,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),27.0
Khalil Yossuf Nader Raad,0.2384 (0.0958),0.8771 (0.1156),0.3699 (0.1293),22.0
Mansour Eid,0.6800 (0.1131),0.6871 (0.2280),0.6387 (0.0953),93.0
Mkhayel Meneem,0.7979 (0.1295),0.6933 (0.1644),0.7366 (0.1356),25.0
Constantine Elias,0.4565 (0.1022),0.5010 (0.2477),0.4301 (0.0610),17.0
Maurice Gemayel,0.0833 (0.1179),0.0303 (0.0429),0.0444 (0.0629),11.0
Murshid Habashi,0.4886 (0.2524),0.3438 (0.1690),0.3469 (0.1308),26.0
Michel Kahwaji,0.3134 (0.2499),0.8614 (0.0527),0.3997 (0.2302),141.0
Mayor of Kfarshima,0.1800 (0.0467),0.7014 (0.1803),0.2837 (0.0661),33.0
Sohayl Tohmeh,0.2076 (0.0584),0.7298 (0.0234),0.3194 (0.0694),36.0
Shukri Kanaan,0.2538 (0.1912),0.1212 (0.0857),0.1624 (0.1157),33.0
Emily Nasrallah,0.7766 (0.0955),0.9697 (0.0429),0.8567 (0.0392),11.0
Joseph Oussani,0.9223 (0.0761),0.9051 (0.0387),0.9101 (0.0220),153.0
Father Boulos El-Mender,0.1911 (0.2578),0.0392 (0.0286),0.0489 (0.0517),20.0
Salah Tizani,0.6519 (0.2821),0.9817 (0.0134),0.7399 (0.2376),297.0
Father Elias Bassil,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),17.0
Father Tobia al-Issa,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Assad Darouich Zacharias,0.1190 (0.1684),0.1333 (0.1886),0.1258 (0.1779),25.0
Asaad Koury Tobia Attallah,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),10.0
Krouger Tobia Attallah,0.2434 (0.1418),0.6122 (0.3925),0.3470 (0.2106),31.0
Toufic El Bacha,0.6281 (0.2702),0.5578 (0.3251),0.4367 (0.1896),40.0
Catherine Yazbek Al-Badawi,0.1111 (0.1571),0.0392 (0.0555),0.0580 (0.0820),17.0
