,precision,recall,f1-score,support
Your nephew Maroun,0.0,0.0,0.0,19.0
Sister Victor N. Khoury,1.0,0.85,0.918918918918919,20.0
Your son George,0.21875,0.6363636363636364,0.32558139534883723,11.0
Amin Farhat,0.0,0.0,0.0,21.0
Patriarch Elias Hoayek,0.0,0.0,0.0,16.0
Bishop Boulos Akl,0.0,0.0,0.0,16.0
Ameen Rihani,0.41379310344827586,1.0,0.5853658536585366,24.0
Shibli N. Damus,0.6818181818181818,0.14563106796116504,0.24,103.0
Naoum Mokarzel,0.0,0.0,0.0,18.0
Eissa alKhouri,1.0,0.37209302325581395,0.5423728813559322,43.0
Girgi Dimitri Sursock,0.13333333333333333,0.2857142857142857,0.18181818181818182,7.0
Felix Faris,0.7051282051282052,0.7284768211920529,0.7166123778501629,151.0
May Ziadeh,0.18055555555555555,0.5909090909090909,0.2765957446808511,22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.6129032258064516,0.24358974358974358,0.3486238532110092,78.0
Mohammed Amin al-Husseini ,0.0,0.0,0.0,13.0
Prof. Ign. Kratchkovsky,0.0,0.0,0.0,13.0
Ibrahim Mejahid Al-Jaza'eri,0.0,0.0,0.0,25.0
Daoud Mujaes,0.75,0.6666666666666666,0.7058823529411765,18.0
Bechara El Khoury,0.15384615384615385,0.25,0.19047619047619047,8.0
Youssef Ibrahim Yazbek,0.6666666666666666,0.1,0.17391304347826086,20.0
Elias Abu Shabaki,1.0,0.30612244897959184,0.46875,49.0
Elie Maroun Khalil,0.4,0.09090909090909091,0.14814814814814814,22.0
Aziz Khoury,0.0,0.0,0.0,14.0
Ghnatyos Mbarak,0.0,0.0,0.0,21.0
Botros Feghaly,0.0,0.0,0.0,24.0
Toufiq Wehbeh,0.36363636363636365,0.9523809523809523,0.5263157894736842,21.0
Bishop Mkhayel Akhrass,0.625,0.29411764705882354,0.4,17.0
George Saad,0.0,0.0,0.0,38.0
Bishop Aghnathios Mbarak,0.22413793103448276,0.8666666666666667,0.3561643835616438,15.0
Fathallah Khoury,0.0,0.0,0.0,14.0
Elias Sarkis,0.35294117647058826,0.9,0.5070422535211268,20.0
Fouad Chehab,0.5238095238095238,1.0,0.6875,11.0
Hanna Moussa,0.4716981132075472,1.0,0.6410256410256411,25.0
Habib Massoud,0.44,0.4230769230769231,0.43137254901960786,26.0
Zaghloul,0.8928571428571429,1.0,0.9433962264150944,25.0
Father Youhanna Habib Baysari,0.4782608695652174,0.4782608695652174,0.4782608695652174,23.0
Mkhayel Daher,0.0,0.0,0.0,24.0
Father Youssef Hanna & Father Botros Hasan,0.0,0.0,0.0,23.0
Father Botros Hasan,0.20689655172413793,0.3157894736842105,0.25,19.0
Father Youssef Hajj,0.0,0.0,0.0,21.0
Father Mkhayel Zreiby,0.6190476190476191,0.3333333333333333,0.43333333333333335,39.0
Father Mikhael Hanna,0.0,0.0,0.0,33.0
Jean Philipp Kmeid,0.2336448598130841,0.9259259259259259,0.373134328358209,27.0
Michel Saykali,0.34146341463414637,1.0,0.509090909090909,14.0
Hanna Ghayth (Juan Gait),0.3939393939393939,1.0,0.5652173913043478,13.0
Yousef Hobeiche,0.19318181818181818,1.0,0.3238095238095238,17.0
Angele Ellis,0.0,0.0,0.0,27.0
Khalil Yossuf Nader Raad,0.23529411764705882,0.9090909090909091,0.37383177570093457,22.0
Mansour Eid,0.8292682926829268,0.3655913978494624,0.5074626865671642,93.0
Mkhayel Meneem,0.8148148148148148,0.88,0.8461538461538461,25.0
Constantine Elias,0.4,0.35294117647058826,0.375,17.0
Maurice Gemayel,0.25,0.09090909090909091,0.13333333333333333,11.0
Murshid Habashi,0.4838709677419355,0.5769230769230769,0.5263157894736842,26.0
Michel Kahwaji,0.6666666666666666,0.7943262411347518,0.7249190938511327,141.0
Mayor of Kfarshima,0.23157894736842105,0.6666666666666666,0.34375,33.0
Sohayl Tohmeh,0.17197452229299362,0.75,0.27979274611398963,36.0
Shukri Kanaan,0.46153846153846156,0.18181818181818182,0.2608695652173913,33.0
Emily Nasrallah,0.7333333333333333,1.0,0.8461538461538461,11.0
Joseph Oussani,0.9716312056737588,0.8954248366013072,0.9319727891156463,153.0
Father Boulos El-Mender,0.017857142857142856,0.05,0.02631578947368421,20.0
Salah Tizani,0.8630952380952381,0.9764309764309764,0.9162717219589257,297.0
Father Elias Bassil,0.0,0.0,0.0,17.0
Father Tobia al-Issa,0.0,0.0,0.0,13.0
Assad Darouich Zacharias,0.35714285714285715,0.4,0.37735849056603776,25.0
Asaad Koury Tobia Attallah,0.0,0.0,0.0,10.0
Krouger Tobia Attallah,0.046511627906976744,0.06451612903225806,0.05405405405405406,31.0
Toufic El Bacha,1.0,0.1,0.18181818181818182,40.0
Catherine Yazbek Al-Badawi,0.0,0.0,0.0,17.0
Youssef Fadlallah Salemeh,0.6666666666666666,0.1,0.17391304347826086,60.0
Bishop Youssef Darian,1.0,0.1320754716981132,0.23333333333333334,53.0
Youssef Hanna El-Sawda,0.2702702702702703,0.9523809523809523,0.42105263157894735,21.0
accuracy,0.4997978164173069,0.4997978164173069,0.4997978164173069,0.4997978164173069
macro avg,0.348574990651034,0.3942975038625286,0.30679429377897105,2473.0
weighted avg,0.541655209785258,0.4997978164173069,0.45697362367223743,2473.0
