Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),19.0
Sister Victor N. Khoury,0.2299 (0.3251),0.3333 (0.4714),0.2721 (0.3848),20.0
Your son George,0.4054 (0.1179),1.0000 (0.0000),0.5667 (0.1223),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Bishop Boulos Akl,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Ameen Rihani,0.8177 (0.2254),0.8990 (0.1429),0.8239 (0.1367),24.0
Shibli N. Damus,0.4648 (0.3792),0.6890 (0.2114),0.4890 (0.2731),103.0
Naoum Mokarzel,0.0370 (0.0524),0.0167 (0.0236),0.0230 (0.0325),18.0
Eissa alKhouri,0.5500 (0.3937),0.5194 (0.4092),0.5291 (0.3946),43.0
Girgi Dimitri Sursock,0.1405 (0.1044),0.4571 (0.3364),0.2101 (0.1509),7.0
Felix Faris,0.6891 (0.2867),0.7880 (0.1765),0.6744 (0.2017),151.0
May Ziadeh,0.1649 (0.1617),0.6364 (0.4515),0.2463 (0.2233),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.5073 (0.3666),0.3034 (0.1504),0.3267 (0.2494),78.0
Mohammed Amin al-Husseini ,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Prof. Ign. Kratchkovsky,0.0152 (0.0214),0.0256 (0.0363),0.0190 (0.0269),13.0
Ibrahim Mejahid Al-Jaza'eri,0.6667 (0.4714),0.4400 (0.3767),0.5099 (0.3936),25.0
Daoud Mujaes,0.1569 (0.2218),0.2963 (0.4190),0.2051 (0.2901),18.0
Bechara El Khoury,0.7968 (0.1426),0.8542 (0.0780),0.8116 (0.0705),8.0
Youssef Ibrahim Yazbek,0.6667 (0.4714),0.5476 (0.3916),0.6002 (0.4258),20.0
Elias Abu Shabaki,0.8274 (0.1595),0.9153 (0.0612),0.8596 (0.0936),49.0
Elie Maroun Khalil,0.4778 (0.3814),0.2897 (0.3780),0.3194 (0.3943),22.0
Aziz Khoury,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),14.0
Ghnatyos Mbarak,0.1937 (0.2561),0.1016 (0.1003),0.1235 (0.1492),21.0
Botros Feghaly,0.5463 (0.4135),0.5417 (0.4011),0.5222 (0.3695),24.0
Toufiq Wehbeh,0.9772 (0.0178),0.8798 (0.1700),0.9167 (0.1025),21.0
Bishop Mkhayel Akhrass,0.2778 (0.3928),0.2941 (0.4159),0.2857 (0.4041),17.0
George Saad,0.7410 (0.1840),0.7745 (0.1612),0.7571 (0.1731),38.0
Bishop Aghnathios Mbarak,0.6786 (0.2020),0.8538 (0.2068),0.7515 (0.1945),15.0
Fathallah Khoury,0.1961 (0.2773),0.3333 (0.4714),0.2469 (0.3492),14.0
Elias Sarkis,0.8730 (0.0882),0.9792 (0.0295),0.9218 (0.0631),20.0
Fouad Chehab,0.9710 (0.0410),1.0000 (0.0000),0.9848 (0.0214),11.0
Hanna Moussa,1.0000 (0.0000),0.9989 (0.0016),0.9994 (0.0008),25.0
Habib Massoud,0.6543 (0.4629),0.6667 (0.4714),0.6604 (0.4670),26.0
Zaghloul,0.8637 (0.1663),0.9653 (0.0490),0.8994 (0.0907),25.0
Father Youhanna Habib Baysari,0.6099 (0.1993),0.9368 (0.0894),0.7110 (0.1581),23.0
Mkhayel Daher,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Father Youssef Hanna & Father Botros Hasan,0.2018 (0.2853),0.3333 (0.4714),0.2514 (0.3555),23.0
Father Botros Hasan,0.1700 (0.1421),0.4269 (0.3924),0.2058 (0.1478),19.0
Father Youssef Hajj,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Father Mkhayel Zreiby,0.3353 (0.3638),0.6496 (0.4598),0.3917 (0.3719),39.0
Father Mikhael Hanna,0.3333 (0.4714),0.1010 (0.1428),0.1550 (0.2193),33.0
Jean Philipp Kmeid,0.9881 (0.0168),1.0000 (0.0000),0.9939 (0.0086),27.0
Michel Saykali,0.6262 (0.3007),1.0000 (0.0000),0.7218 (0.2622),14.0
Hanna Ghayth (Juan Gait),0.8950 (0.0437),1.0000 (0.0000),0.9440 (0.0247),13.0
Yousef Hobeiche,0.8195 (0.1057),0.9376 (0.0882),0.8639 (0.0194),17.0
Angele Ellis,0.3021 (0.2191),0.5432 (0.3888),0.3838 (0.2725),27.0
Khalil Yossuf Nader Raad,0.4521 (0.1854),1.0000 (0.0000),0.6004 (0.1755),22.0
Mansour Eid,0.9259 (0.0525),0.9964 (0.0051),0.9592 (0.0289),93.0
Mkhayel Meneem,0.9259 (0.0524),0.9333 (0.0377),0.9274 (0.0062),25.0
Constantine Elias,0.3539 (0.2579),0.6667 (0.4714),0.4602 (0.3297),17.0
Maurice Gemayel,0.3116 (0.2219),0.6086 (0.4303),0.4118 (0.2922),11.0
Murshid Habashi,0.3342 (0.2408),0.6107 (0.4319),0.4309 (0.3073),26.0
Michel Kahwaji,0.7494 (0.2083),0.8747 (0.1772),0.7645 (0.1055),141.0
Mayor of Kfarshima,0.3524 (0.1350),0.7778 (0.3143),0.4849 (0.1890),33.0
Sohayl Tohmeh,0.8405 (0.1356),0.9907 (0.0131),0.9029 (0.0823),36.0
Shukri Kanaan,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),33.0
Emily Nasrallah,1.0000 (0.0000),1.0000 (0.0000),1.0000 (0.0000),11.0
Joseph Oussani,0.9720 (0.0396),0.9750 (0.0308),0.9735 (0.0352),153.0
Father Boulos El-Mender,0.4675 (0.3241),0.5225 (0.3688),0.4880 (0.3436),20.0
Salah Tizani,0.9444 (0.0786),0.9989 (0.0016),0.9691 (0.0425),297.0
Father Elias Bassil,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),17.0
Father Tobia al-Issa,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Assad Darouich Zacharias,0.2099 (0.2968),0.3333 (0.4714),0.2576 (0.3643),25.0
Asaad Koury Tobia Attallah,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),10.0
Krouger Tobia Attallah,0.3238 (0.2649),0.5074 (0.3929),0.3950 (0.3164),31.0
Toufic El Bacha,0.5489 (0.1775),0.7623 (0.2530),0.6088 (0.1659),40.0
Catherine Yazbek Al-Badawi,0.6481 (0.4589),0.6275 (0.4463),0.6363 (0.4502),17.0
Youssef Fadlallah Salemeh,0.5445 (0.2170),0.8030 (0.2501),0.5954 (0.1941),60.0
Bishop Youssef Darian,0.4825 (0.4090),0.6667 (0.4714),0.5394 (0.4120),53.0
Youssef Hanna El-Sawda,0.7154 (0.1955),0.9664 (0.0475),0.8023 (0.1003),21.0
accuracy,0.6812 (0.0533),0.6812 (0.0533),0.6812 (0.0533),0.7436312171451678
macro avg,0.4644 (0.1298),0.5627 (0.0954),0.4843 (0.1188),2473.0
weighted avg,0.6630 (0.0715),0.6812 (0.0533),0.6510 (0.0642),2473.0
