,precision,recall,f1-score,support
Your nephew Maroun,0.0,0.0,0.0,19.0
Sister Victor N. Khoury,0.6896551724137931,1.0,0.8163265306122449,20.0
Your son George,0.2558139534883721,1.0,0.4074074074074074,11.0
Amin Farhat,0.0,0.0,0.0,21.0
Patriarch Elias Hoayek,0.0,0.0,0.0,16.0
Bishop Boulos Akl,0.0,0.0,0.0,16.0
Ameen Rihani,1.0,1.0,1.0,24.0
Shibli N. Damus,1.0,0.7669902912621359,0.8681318681318682,103.0
Naoum Mokarzel,0.0,0.0,0.0,18.0
Eissa alKhouri,0.75,0.5581395348837209,0.64,43.0
Girgi Dimitri Sursock,0.25,0.5714285714285714,0.34782608695652173,7.0
Felix Faris,0.89937106918239,0.9470198675496688,0.9225806451612903,151.0
May Ziadeh,0.38461538461538464,0.9090909090909091,0.5405405405405406,22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.9302325581395349,0.5128205128205128,0.6611570247933884,78.0
Mohammed Amin al-Husseini ,0.0,0.0,0.0,13.0
Prof. Ign. Kratchkovsky,0.0,0.0,0.0,13.0
Ibrahim Mejahid Al-Jaza'eri,1.0,0.92,0.9583333333333334,25.0
Daoud Mujaes,0.47058823529411764,0.8888888888888888,0.6153846153846154,18.0
Bechara El Khoury,0.8571428571428571,0.75,0.8,8.0
Youssef Ibrahim Yazbek,1.0,0.75,0.8571428571428571,20.0
Elias Abu Shabaki,1.0,0.8571428571428571,0.9230769230769231,49.0
Elie Maroun Khalil,0.5,0.045454545454545456,0.08333333333333333,22.0
Aziz Khoury,0.0,0.0,0.0,14.0
Ghnatyos Mbarak,0.5555555555555556,0.23809523809523808,0.3333333333333333,21.0
Botros Feghaly,0.6388888888888888,0.9583333333333334,0.7666666666666667,24.0
Toufiq Wehbeh,1.0,1.0,1.0,21.0
Bishop Mkhayel Akhrass,0.8333333333333334,0.8823529411764706,0.8571428571428571,17.0
George Saad,0.9736842105263158,0.9736842105263158,0.9736842105263158,38.0
Bishop Aghnathios Mbarak,0.9375,1.0,0.967741935483871,15.0
Fathallah Khoury,0.0,0.0,0.0,14.0
Elias Sarkis,0.9523809523809523,1.0,0.975609756097561,20.0
Fouad Chehab,1.0,1.0,1.0,11.0
Hanna Moussa,1.0,1.0,1.0,25.0
Habib Massoud,0.9629629629629629,1.0,0.9811320754716981,26.0
Zaghloul,0.9615384615384616,1.0,0.9803921568627451,25.0
Father Youhanna Habib Baysari,0.7666666666666667,1.0,0.8679245283018868,23.0
Mkhayel Daher,0.0,0.0,0.0,24.0
Father Youssef Hanna & Father Botros Hasan,0.0,0.0,0.0,23.0
Father Botros Hasan,0.16216216216216217,0.9473684210526315,0.27692307692307694,19.0
Father Youssef Hajj,0.0,0.0,0.0,21.0
Father Mkhayel Zreiby,0.8409090909090909,0.9487179487179487,0.891566265060241,39.0
Father Mikhael Hanna,1.0,0.30303030303030304,0.46511627906976744,33.0
Jean Philipp Kmeid,0.9642857142857143,1.0,0.9818181818181818,27.0
Michel Saykali,0.9333333333333333,1.0,0.9655172413793104,14.0
Hanna Ghayth (Juan Gait),0.9285714285714286,1.0,0.9629629629629629,13.0
Yousef Hobeiche,0.7727272727272727,1.0,0.8717948717948718,17.0
Angele Ellis,0.5128205128205128,0.7407407407407407,0.6060606060606061,27.0
Khalil Yossuf Nader Raad,0.4230769230769231,1.0,0.5945945945945946,22.0
Mansour Eid,0.8932038834951457,0.989247311827957,0.9387755102040817,93.0
Mkhayel Meneem,0.8888888888888888,0.96,0.9230769230769231,25.0
Constantine Elias,0.6071428571428571,1.0,0.7555555555555555,17.0
Maurice Gemayel,0.43478260869565216,0.9090909090909091,0.5882352941176471,11.0
Murshid Habashi,0.5581395348837209,0.9230769230769231,0.6956521739130435,26.0
Michel Kahwaji,0.967032967032967,0.624113475177305,0.7586206896551724,141.0
Mayor of Kfarshima,0.16176470588235295,0.3333333333333333,0.21782178217821782,33.0
Sohayl Tohmeh,0.8974358974358975,0.9722222222222222,0.9333333333333333,36.0
Shukri Kanaan,0.0,0.0,0.0,33.0
Emily Nasrallah,1.0,1.0,1.0,11.0
Joseph Oussani,1.0,0.9934640522875817,0.9967213114754099,153.0
Father Boulos El-Mender,0.76,0.95,0.8444444444444444,20.0
Salah Tizani,1.0,0.9966329966329966,0.9983136593591906,297.0
Father Elias Bassil,0.0,0.0,0.0,17.0
Father Tobia al-Issa,0.0,0.0,0.0,13.0
Assad Darouich Zacharias,0.0,0.0,0.0,25.0
Asaad Koury Tobia Attallah,0.0,0.0,0.0,10.0
Krouger Tobia Attallah,0.2830188679245283,0.4838709677419355,0.35714285714285715,31.0
Toufic El Bacha,0.7954545454545454,0.875,0.8333333333333334,40.0
Catherine Yazbek Al-Badawi,0.9444444444444444,1.0,0.9714285714285714,17.0
Youssef Fadlallah Salemeh,0.5869565217391305,0.45,0.5094339622641509,60.0
Bishop Youssef Darian,1.0,1.0,1.0,53.0
Youssef Hanna El-Sawda,0.6,1.0,0.75,21.0
accuracy,0.7436312171451678,0.7436312171451678,0.7436312171451678,0.7436312171451678
macro avg,0.5843110200427627,0.6468922719237459,0.5891987629141804,2473.0
weighted avg,0.7475349001755974,0.7436312171451678,0.7260118757917304,2473.0
