Unnamed: 0,precision,recall,f1-score,support
Your nephew Maroun,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),19.0
Sister Victor N. Khoury,0.3175 (0.4490),0.3333 (0.4714),0.3252 (0.4599),20.0
Your son George,0.3592 (0.0825),0.9778 (0.0314),0.5195 (0.0908),11.0
Amin Farhat,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Patriarch Elias Hoayek,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Bishop Boulos Akl,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),16.0
Ameen Rihani,0.7963 (0.0944),0.8906 (0.1547),0.8284 (0.0830),24.0
Shibli N. Damus,0.4176 (0.4047),0.5029 (0.2844),0.4231 (0.3422),103.0
Naoum Mokarzel,0.2222 (0.3143),0.0333 (0.0471),0.0580 (0.0820),18.0
Eissa alKhouri,0.4124 (0.3031),0.4496 (0.4144),0.4180 (0.3418),43.0
Girgi Dimitri Sursock,0.1056 (0.0986),0.5492 (0.3985),0.1737 (0.1560),7.0
Felix Faris,0.8288 (0.1351),0.8040 (0.1400),0.7942 (0.0534),151.0
May Ziadeh,0.2496 (0.2483),0.6364 (0.4515),0.3303 (0.2941),22.0
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,0.5204 (0.3940),0.3689 (0.2015),0.3879 (0.3028),78.0
Mohammed Amin al-Husseini ,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Prof. Ign. Kratchkovsky,0.1250 (0.1768),0.2308 (0.3264),0.1622 (0.2293),13.0
Ibrahim Mejahid Al-Jaza'eri,0.5714 (0.4206),0.5867 (0.4199),0.5781 (0.4190),25.0
Daoud Mujaes,0.2267 (0.3206),0.3148 (0.4452),0.2636 (0.3727),18.0
Bechara El Khoury,0.4892 (0.1736),0.8542 (0.0780),0.6066 (0.1544),8.0
Youssef Ibrahim Yazbek,0.6667 (0.4714),0.6167 (0.4403),0.6396 (0.4535),20.0
Elias Abu Shabaki,0.7881 (0.1838),0.8813 (0.1001),0.8126 (0.0943),49.0
Elie Maroun Khalil,0.4556 (0.3552),0.2701 (0.3503),0.2986 (0.3650),22.0
Aziz Khoury,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),14.0
Ghnatyos Mbarak,0.2083 (0.2946),0.0794 (0.1122),0.1149 (0.1626),21.0
Botros Feghaly,0.5495 (0.4142),0.6032 (0.4335),0.5605 (0.3988),24.0
Toufiq Wehbeh,0.8000 (0.2828),0.9781 (0.0309),0.8458 (0.1945),21.0
Bishop Mkhayel Akhrass,0.4833 (0.4089),0.6061 (0.4349),0.5269 (0.4100),17.0
George Saad,0.6439 (0.3453),0.6254 (0.3383),0.6342 (0.3415),38.0
Bishop Aghnathios Mbarak,0.5542 (0.2732),0.7778 (0.3143),0.6063 (0.2603),15.0
Fathallah Khoury,0.4952 (0.4083),0.5167 (0.3704),0.4806 (0.3500),14.0
Elias Sarkis,0.6904 (0.1759),1.0000 (0.0000),0.8041 (0.1228),20.0
Fouad Chehab,1.0000 (0.0000),1.0000 (0.0000),1.0000 (0.0000),11.0
Hanna Moussa,0.9872 (0.0181),0.9989 (0.0016),0.9929 (0.0089),25.0
Habib Massoud,0.6667 (0.4714),0.6667 (0.4714),0.6667 (0.4714),26.0
Zaghloul,0.9872 (0.0181),0.9884 (0.0163),0.9876 (0.0088),25.0
Father Youhanna Habib Baysari,0.7070 (0.1502),0.9540 (0.0650),0.7999 (0.1038),23.0
Mkhayel Daher,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),24.0
Father Youssef Hanna & Father Botros Hasan,0.4467 (0.3450),0.3333 (0.4115),0.3410 (0.3824),23.0
Father Botros Hasan,0.3048 (0.0400),0.8224 (0.0529),0.4443 (0.0505),19.0
Father Youssef Hajj,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),21.0
Father Mkhayel Zreiby,0.3564 (0.3347),0.6496 (0.4598),0.4297 (0.3555),39.0
Father Mikhael Hanna,0.3333 (0.4714),0.0606 (0.0857),0.1026 (0.1450),33.0
Jean Philipp Kmeid,0.9649 (0.0459),1.0000 (0.0000),0.9816 (0.0242),27.0
Michel Saykali,0.8127 (0.2128),1.0000 (0.0000),0.8800 (0.1424),14.0
Hanna Ghayth (Juan Gait),0.7735 (0.2155),1.0000 (0.0000),0.8538 (0.1524),13.0
Yousef Hobeiche,0.8374 (0.1954),0.9376 (0.0882),0.8653 (0.1146),17.0
Angele Ellis,0.6075 (0.3047),0.3049 (0.1570),0.3307 (0.1410),27.0
Khalil Yossuf Nader Raad,0.3209 (0.0339),1.0000 (0.0000),0.4849 (0.0384),22.0
Mansour Eid,0.8277 (0.1382),0.9892 (0.0152),0.8960 (0.0875),93.0
Mkhayel Meneem,0.8133 (0.2363),0.8667 (0.1320),0.8032 (0.1307),25.0
Constantine Elias,0.6315 (0.2782),0.6833 (0.4478),0.4375 (0.2595),17.0
Maurice Gemayel,0.8742 (0.1238),0.8182 (0.2571),0.8030 (0.1365),11.0
Murshid Habashi,0.7624 (0.1703),0.6841 (0.3874),0.5929 (0.2503),26.0
Michel Kahwaji,0.7120 (0.1855),0.9007 (0.1404),0.7624 (0.0677),141.0
Mayor of Kfarshima,0.4073 (0.0818),0.8078 (0.2501),0.5393 (0.1302),33.0
Sohayl Tohmeh,0.8947 (0.0962),0.9907 (0.0131),0.9370 (0.0499),36.0
Shukri Kanaan,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),33.0
Emily Nasrallah,1.0000 (0.0000),1.0000 (0.0000),1.0000 (0.0000),11.0
Joseph Oussani,0.9910 (0.0127),0.9700 (0.0336),0.9803 (0.0234),153.0
Father Boulos El-Mender,0.4666 (0.3242),0.4716 (0.3951),0.4508 (0.3447),20.0
Salah Tizani,0.9541 (0.0371),0.9989 (0.0016),0.9756 (0.0188),297.0
Father Elias Bassil,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),17.0
Father Tobia al-Issa,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),13.0
Assad Darouich Zacharias,0.2444 (0.3457),0.2157 (0.3050),0.2292 (0.3241),25.0
Asaad Koury Tobia Attallah,0.0000 (0.0000),0.0000 (0.0000),0.0000 (0.0000),10.0
Krouger Tobia Attallah,0.4807 (0.3815),0.6452 (0.4570),0.5415 (0.4028),31.0
Toufic El Bacha,0.7638 (0.3010),0.9804 (0.0277),0.8172 (0.2198),40.0
Catherine Yazbek Al-Badawi,0.6444 (0.4565),0.3529 (0.3463),0.4187 (0.3582),17.0
Youssef Fadlallah Salemeh,0.5354 (0.1986),0.8269 (0.1267),0.6058 (0.1414),60.0
Bishop Youssef Darian,0.4478 (0.3242),0.6667 (0.4714),0.5336 (0.3806),53.0
Youssef Hanna El-Sawda,0.7819 (0.1491),0.9664 (0.0475),0.8533 (0.0902),21.0
accuracy,0.6913 (0.0514),0.6913 (0.0514),0.6913 (0.0514),0.7553578649413668
macro avg,0.4974 (0.1076),0.5780 (0.0926),0.5004 (0.1103),2473.0
weighted avg,0.6719 (0.0671),0.6913 (0.0514),0.6582 (0.0622),2473.0
