Image Filename,Prefix,Writer Name (Arabic),Writer Name (English),
2015 5-03 El-Khouri_Letter to Jennie Jabaley from Lebanon Oct18 1960_1,2015,خالتكي ملفينا,Malvina Choieree,
2015 5-07 El-Khouri_Letter to Joseph from Lebanon Dec17 1959_1,2015,ابن اخيك مارون,Your nephew Maroun,
2015 5-07b El-Khouri_Letter to Joseph from Lebanon Dec17 1959_2_1,2015,ابن اخيك مارون,Your nephew Maroun,
2015 5-07b El-Khouri_Letter to Joseph from Lebanon Dec17 1959_2_2,2015,ابن اخيك مارون,Your nephew Maroun,
2015 5-08b El-Khouri_Letter to Joseph from Lebanon Dec19 1957_2_1,2015,الاخت فيكتور ن خوري,Sister Victor N. Khoury,
2015 5-08b El-Khouri_Letter to Joseph from Lebanon Dec19 1957_2_2,2015,الاخت فيكتور ن خوري,Sister Victor N. Khoury,
2015 5-08c El-Khouri_Letter to Joseph from Lebanon Dec19 1957_3,2015,الاخت فيكتور ن خوري,Sister Victor N. Khoury,
2015 5-09b El-Khouri_Letter to Joseph from Lebanon Dec21 1960_2,2015,ابن اخيك مارون,Your nephew Maroun,
2015 5-13 El-Khouri_Letter to Joseph from Lebanon Feb29 1960 1,2015,مارون الخوري مارون ( يوسف بنيامين الخوري),Maroun Al-Khoury Maroun (Joseph Benjamin El-Khouri ),
2015 5-13b El-Khouri_Letter to Joseph from Lebanon Feb29 1960_2_1,2015,مارون الخوري مارون ( يوسف بنيامين الخوري),Maroun Al-Khoury Maroun (Joseph Benjamin El-Khouri ),
AF_280r,AF,شهود شبلي بركات,Shibli Barakat witnesses,
AF_293r,AF,مأمور مال كسروان,Keserwan Finance Officer,
AF_303r,AF,ولدكم جورج,Your son George,
AF_304_01r,AF,ولدكم جورج,Your son George,
AF_304_02r,AF,ولدكم جورج,Your son George,
AF_304_03r,AF,ولدكم جورج,Your son George,
AF_304_04r,AF,ولدكم جورج,Your son George,
AF_304_05r,AF,ولدكم جورج,Your son George,
AF_304_06r,AF,ولدكم جورج,Your son George,
AF_304_06v,AF,ولدكم جورج,Your son George,
AF_305r,AF,أمين فرحات,Amin Farhat,
AF_321r,AF,ولدكم جورج,Your son George,
AF_322_01r,AF,ولدكم جورج,Your son George,
AF_322_02r,AF,ولدكم جورج,Your son George,
AF_323r,AF,,,
AF_342r,AF,,,
AF_342v,AF,,,
AF_352v,AF,,,
AF_356r,AF,أمين فرحات,Amin Farhat,
AF_357r,AF,أمين فرحات,Amin Farhat,
AnF_016,AnF,,,
AR51_008,AR,أمين الريحاني,Ameen Rihani,
AR51_013,AR,أمين الريحاني,Ameen Rihani,
AR51_062,AR,أمين الريحاني,Ameen Rihani,
AR53_01_006,AR,أمين الريحاني,Ameen Rihani,
AR53_01_008,AR,أمين الريحاني,Ameen Rihani,
AR53_01_009,AR,أمين الريحاني,Ameen Rihani,
AR53_01_010,AR,أمين الريحاني,Ameen Rihani,
AR53_01_011,AR,أمين الريحاني,Ameen Rihani,
AR53_01_025,AR,أمين الريحاني,Ameen Rihani,
AR53_01_026,AR,أمين الريحاني,Ameen Rihani,
AR53_01_027,AR,أمين الريحاني,Ameen Rihani,
AR53_01_029,AR,أمين الريحاني,Ameen Rihani,
AR53_01_031,AR,أمين الريحاني,Ameen Rihani,
AR53_01_033,AR,أمين الريحاني,Ameen Rihani,
AR53_01_034,AR,أمين الريحاني,Ameen Rihani,
AR53_01_035,AR,أمين الريحاني,Ameen Rihani,
AR53_01_036,AR,أمين الريحاني,Ameen Rihani,
AR53_01_037,AR,أمين الريحاني,Ameen Rihani,
AR53_01_038,AR,أمين الريحاني,Ameen Rihani,
AR53_01_039,AR,أمين الريحاني,Ameen Rihani,
AR53_01_040,AR,أمين الريحاني,Ameen Rihani,
AR53_02_205,AR,أمين الريحاني,Ameen Rihani,
AR53_02_207,AR,أمين الريحاني,Ameen Rihani,
AR53_02_209,AR,أمين الريحاني,Ameen Rihani,
AR53_02_210,AR,أمين الريحاني,Ameen Rihani,
AR53_02_211,AR,أمين الريحاني,Ameen Rihani,
AR53_02_212,AR,أمين الريحاني,Ameen Rihani,
AR53_02_213,AR,أمين الريحاني,Ameen Rihani,
AR53_02_230,AR,أمين الريحاني,Ameen Rihani,
AR53_02_246,AR,أمين الريحاني,Ameen Rihani,
