Image Filename,Prefix,Writer Name (English)
2015 5-03 El-Khouri_Letter to Jennie Jabaley from Lebanon Oct18 1960_1,2015,Malvina Choieree
2015 5-07 El-Khouri_Letter to Joseph from Lebanon Dec17 1959_1,2015,Your nephew Maroun
2015 5-07b El-Khouri_Letter to Joseph from Lebanon Dec17 1959_2_1,2015,Your nephew Maroun
2015 5-07b El-Khouri_Letter to Joseph from Lebanon Dec17 1959_2_2,2015,Your nephew Maroun
2015 5-08b El-Khouri_Letter to Joseph from Lebanon Dec19 1957_2_1,2015,Sister Victor N. Khoury
2015 5-08b El-Khouri_Letter to Joseph from Lebanon Dec19 1957_2_2,2015,Sister Victor N. Khoury
2015 5-08c El-Khouri_Letter to Joseph from Lebanon Dec19 1957_3,2015,Sister Victor N. Khoury
2015 5-09b El-Khouri_Letter to Joseph from Lebanon Dec21 1960_2,2015,Your nephew Maroun
2015 5-13 El-Khouri_Letter to Joseph from Lebanon Feb29 1960 1,2015,Maroun Al-Khoury Maroun
2015 5-13b El-Khouri_Letter to Joseph from Lebanon Feb29 1960_2_1,2015,Maroun Al-Khoury Maroun
AF_279r,AF,Father Youssef Nassar
AF_280r,AF,Shibli Barakat witnesses
AF_282r,AF,Mousssa Farhat Farah
AF_291r,AF,Nassar Tanios Al Samarani
AF_293r,AF,Keserwan Finance Officer
AF_295v,AF,Serhal Ounaissy
AF_296r,AF,Elias Abdallah
AF_303r,AF,Your son George
AF_304_01r,AF,Your son George
AF_304_02r,AF,Your son George
AF_304_03r,AF,Your son George
AF_304_04r,AF,Your son George
AF_304_05r,AF,Your son George
AF_304_06r,AF,Your son George
AF_304_06v,AF,Your son George
AF_305r,AF,Amin Farhat
AF_321r,AF,Your son George
AF_322_01r,AF,Your son George
AF_322_02r,AF,Your son George
AF_356r,AF,Amin Farhat
AF_357r,AF,Amin Farhat
AnF_006,AnF,Patriarch Elias Hoayek
AnF_008,AnF,Patriarch Elias Hoayek
AnF_009,AnF,Patriarch Elias Hoayek
AnF_010,AnF,Patriarch Elias Hoayek
AnF_013,AnF,Bishop Boulos Akl
AnF_014,AnF,Bishop Boulos Akl
AnF_015,AnF,Bishop Boulos Akl
AR51_008,AR,Ameen Rihani
AR51_013,AR,Ameen Rihani
AR51_062,AR,Ameen Rihani
AR53_01_006,AR,Ameen Rihani
AR53_01_008,AR,Ameen Rihani
AR53_01_009,AR,Ameen Rihani
AR53_01_010,AR,Ameen Rihani
AR53_01_011,AR,Ameen Rihani
AR53_01_025,AR,Ameen Rihani
AR53_01_026,AR,Ameen Rihani
AR53_01_027,AR,Ameen Rihani
AR53_01_029,AR,Ameen Rihani
AR53_01_031,AR,Ameen Rihani
AR53_01_033,AR,Ameen Rihani
AR53_01_034,AR,Ameen Rihani
AR53_01_035,AR,Ameen Rihani
AR53_01_036,AR,Ameen Rihani
AR53_01_037,AR,Ameen Rihani
AR53_01_038,AR,Ameen Rihani
AR53_01_039,AR,Ameen Rihani
AR53_01_040,AR,Ameen Rihani
AR53_02_205,AR,Ameen Rihani
AR53_02_207,AR,Ameen Rihani
AR53_02_209,AR,Ameen Rihani
AR53_02_210,AR,Ameen Rihani
AR53_02_211,AR,Ameen Rihani
AR53_02_212,AR,Ameen Rihani
AR53_02_213,AR,Ameen Rihani
AR53_02_230,AR,Ameen Rihani
AR53_02_246,AR,Ameen Rihani
AR53_02_254,AR,Ameen Rihani
AR53_02_262,AR,Ameen Rihani
AR53_02_265,AR,Ameen Rihani
AR55_05_006,AR,Ameen Rihani
AR55_05_007,AR,Ameen Rihani
AR56_01_003_1,AR,Shibli N. Damus
AR56_01_003_2,AR,Shibli N. Damus
AR56_01_005,AR,Shibli N. Damus
AR56_01_006,AR,Shibli N. Damus
AR56_01_007,AR,Shibli N. Damus
