Image Filename,Prefix,Writer Name (English)
AF_279r,AF,Father Youssef Nassar
AF_282r,AF,Mousssa Farhat Farah
AF_291r,AF,Nassar Tanios Al Samarani
AF_295v,AF,Serhal Ounaissy
AF_296r,AF,Elias Abdallah
AnF_006,AnF,Patriarch Elias Hoayek
AnF_008,AnF,Patriarch Elias Hoayek
AnF_009,AnF,Patriarch Elias Hoayek
AnF_010,AnF,Patriarch Elias Hoayek
AnF_013,AnF,Bishop Boulos Akl
AnF_014,AnF,Bishop Boulos Akl
AnF_015,AnF,Bishop Boulos Akl
BEK1A_14_01r,BEK,Tawfiq
BEK2A_11_01r,BEK,Youssef Ibrahim Yazbek
BEK2A_11_02r,BEK,Youssef Ibrahim Yazbek
BEK2A_11_03r,BEK,Youssef Ibrahim Yazbek
BEK2A_17_01r,BEK,Margaret El Haddad
BEK2A_17_02r,BEK,Margaret El Haddad
EAK1A_003r,EAK,Habib Abi Rached
EAK1A_035r,EAK,Aziz Khoury
EAK1A_038r,EAK,Aziz Khoury
EAK1A_038v,EAK,Aziz Khoury
EAK1A_039r,EAK,Mary Khoury
EAK1A_049r,EAK,Ghnatyos Mbarak
EAK1A_049v,EAK,Ghnatyos Mbarak
EAK1A_051v,EAK,Ghnatyos Mbarak
EAK1A_066r,EAK,'Abdallah Sfeir
EAK1A_067r,EAK,Youssef Nakad
EAK1A_081r,EAK,Tanos Youssef Harfouche
EAK1A_087r,EAK,JerJi Ass'ad Nader
EAK1A_088r,EAK,Habib Abdallah al-Khoury
EAK1A_089r,EAK,Serhal Maroun 'Tiyyeh
EAK1A_090_01r,EAK,Hanna Estphan
EAK1A_090_02r,EAK,Hanna Estphan
EAK1A_095r,EAK,Slayman al-Farkh
EAK1A_099r,EAK,Habib Boulos Nasr
EAK1A_137r,EAK,Ghnatyos Mbarak
EAK1A_137v,EAK,Ghnatyos Mbarak
EAK1A_138_01r,EAK,Botros Feghaly
EAK1A_138_01v,EAK,Botros Feghaly
EAK1A_138_02r,EAK,Botros Feghaly
EAK1A_140_01r,EAK,Toufiq Wehbeh
EAK1A_140_02r,EAK,Toufiq Wehbeh
EAK1A_140_03r,EAK,Toufiq Wehbeh
EAK1A_140_04r,EAK,Toufiq Wehbeh
