Model,ResNet50,DenseNet201,Xception,MobileNetV3
F1 Score,,,,
Frozen + No Attention (Baseline) ,0.5706 (0.0254),0.5324 (0.0306),0.3575 (0.0244),0.4715 (0.0116)
Frozen + Attention,0.5868 (0.0298),0.5988 (0.0308),0.4266 (0.0398),0.5100 (0.0387)
Fine-tuned + Last Layer + No Attention,,,,
Fine-tuned + Last Layer + Attention,,,,
Fine-tuned + Last 5 Layers + No Attention,,,,
Fine-tuned + Last 5 Layers + Attention,,,,
Fine-tuned + Last 10 Layers + No Attention,,,,
Fine-tuned + Last 10 Layers + Attention,,,,
Fine-tuned + Last 25 Layers + No Attention,,,,
Fine-tuned + Last 25 Layers + Attention,,,,
Fine-tuned + No Attention,,,,
Fine-tuned + Attention,,,,
From Scratch + No Attention,0.4719 (0.0626),,,
From Scratch + Attention,,,,
,,,,
,,,,
,,,,
Top-1 Accuracy,,,,
Frozen + No Attention (Baseline) ,0.6988 (0.0089),0.6725 (0.0182),0.4974 (0.0065),0.6091 (0.0342)
Frozen + Attention,0.7036 (0.0189),0.7246 (0.0111),0.5527 (0.0177),0.6413 (0.0181)
Fine-tuned + Last Layer + No Attention,,,,
Fine-tuned + Last Layer + Attention,,,,
Fine-tuned + Last 5 Layers + No Attention,,,,
Fine-tuned + Last 5 Layers + Attention,,,,
Fine-tuned + Last 10 Layers + No Attention,,,,
Fine-tuned + Last 10 Layers + Attention,,,,
Fine-tuned + Last 25 Layers + No Attention,,,,
Fine-tuned + Last 25 Layers + Attention,,,,
Fine-tuned + No Attention,,,,
Fine-tuned + Attention,,,,
From Scratch + No Attention,0.6592 (0.0271),,,
From Scratch + Attention,,,,
,,,,
,,,,
,,,,
Top-5 Accuracy,,,,
Frozen + No Attention (Baseline) ,0.8735 (0.0147),0.8553 (0.0106),0.7411 (0.0032),0.8102 (0.0184)
Frozen + Attention,0.8736 (0.0131),0.8579 (0.0052),0.7722 (0.0104),0.8224 (0.0021)
Fine-tuned + Last Layer + No Attention,,,,
Fine-tuned + Last Layer + Attention,,,,
Fine-tuned + Last 5 Layers + No Attention,,,,
Fine-tuned + Last 5 Layers + Attention,,,,
Fine-tuned + Last 10 Layers + No Attention,,,,
Fine-tuned + Last 10 Layers + Attention,,,,
Fine-tuned + Last 25 Layers + No Attention,,,,
Fine-tuned + Last 25 Layers + Attention,,,,
Fine-tuned + No Attention,,,,
Fine-tuned + Attention,,,,
From Scratch + No Attention,0.8166 (0.0243),,,
From Scratch + Attention,,,,
,,,,
,,,,
,,,,
Loss,,,,
Frozen + No Attention (Baseline) ,1.5836 (0.0897),1.6863 (0.0748),2.4914 (0.0505),2.0683 (0.1450)
Frozen + Attention,1.6172 (0.1343),1.7234 (0.0900),2.4198 (0.0357),2.1090 (0.1062)
Fine-tuned + Last Layer + No Attention,,,,
Fine-tuned + Last Layer + Attention,,,,
Fine-tuned + Last 5 Layers + No Attention,,,,
Fine-tuned + Last 5 Layers + Attention,,,,
Fine-tuned + Last 10 Layers + No Attention,,,,
Fine-tuned + Last 10 Layers + Attention,,,,
Fine-tuned + Last 25 Layers + No Attention,,,,
Fine-tuned + Last 25 Layers + Attention,,,,
Fine-tuned + No Attention,,,,
Fine-tuned + Attention,,,,
From Scratch + No Attention,1.9663 (0.1899),,,
From Scratch + Attention,,,,
,,,,
,,,,
,,,,
Precision,,,,
Frozen + No Attention (Baseline) ,0.5484 (0.0312),0.5139 (0.0403),0.3355 (0.0205),0.4606 (0.0239)
