page_id,writer,split,line_count
JEH2A2_18,Habib Massoud,train,26
JEH2A2_20_01,Habib Massoud,val,23
JEH2A2_19,Habib Massoud,test,20
JEH2A2_20_02,Habib Massoud,train,14
JEH2A2_17,Habib Massoud,train,17
YS_5H_003,Youssef Hanna El-Sawda,train,24
YS_5H_004,Youssef Hanna El-Sawda,train,25
YS_5H_007,Youssef Hanna El-Sawda,train,24
YS_5H_008,Youssef Hanna El-Sawda,train,21
YS_5H_011c,Youssef Hanna El-Sawda,train,28
YS_5H_011d,Youssef Hanna El-Sawda,train,10
YS_5H_011f,Youssef Hanna El-Sawda,train,24
YS_5H_011g,Youssef Hanna El-Sawda,train,20
YS_2F_022a,Youssef Hanna El-Sawda,val,16
YS_2F_022b,Youssef Hanna El-Sawda,val,19
YS_2F_022c,Youssef Hanna El-Sawda,val,20
YS_2F_022d,Youssef Hanna El-Sawda,val,18
YS_2F_022e,Youssef Hanna El-Sawda,val,17
YS_2F_022f,Youssef Hanna El-Sawda,val,11
YS_5H_017,Youssef Hanna El-Sawda,test,21
YS_5H_017b,Youssef Hanna El-Sawda,test,20
YS_5H_017d,Youssef Hanna El-Sawda,test,21
TAttallah2020-024,Father Elias Bassil,train,21
TAttallah2020-019,Father Elias Bassil,val,17
TAttallah2020-029,Father Elias Bassil,test,12
KEllis2018-169a_1,Yousef Hobeiche,train,17
KEllis2018-169a_2,Yousef Hobeiche,train,15
KEllis2018-169b_1,Yousef Hobeiche,train,17
KEllis2018-169b_2,Yousef Hobeiche,train,17
KEllis2018-169c_1,Yousef Hobeiche,train,14
KEllis2018-169c_2,Yousef Hobeiche,train,14
KEllis2018-169d_1,Yousef Hobeiche,train,16
KEllis2018-169d_2,Yousef Hobeiche,train,17
KEllis2018-139a,Yousef Hobeiche,val,22
KEllis2018-139b,Yousef Hobeiche,val,22
KEllis2018-139c,Yousef Hobeiche,val,21
KEllis2018-139d,Yousef Hobeiche,val,24
KEllis2018-139e,Yousef Hobeiche,val,24
KEllis2018-193a,Yousef Hobeiche,test,20
KEllis2018-193b,Yousef Hobeiche,test,21
KEllis2018-193c,Yousef Hobeiche,test,16
KEllis2018-175a,Yousef Hobeiche,train,18
KEllis2018-175b,Yousef Hobeiche,train,17
KEllis2018-147e,Yousef Hobeiche,train,18
KEllis2018-147f,Yousef Hobeiche,train,16
KEllis2018-166a,Yousef Hobeiche,train,24
KEllis2018-166b,Yousef Hobeiche,train,25
KEllis2018-166c,Yousef Hobeiche,train,17
ES1D_19_01,Elias Sarkis,train,22
ES1D_19_02,Elias Sarkis,train,20
ES1D_19_03,Elias Sarkis,train,18
ES1D_19_04,Elias Sarkis,train,20
ES1D_19_05,Elias Sarkis,train,20
ES1D_19_06,Elias Sarkis,train,20
ES1D_19_07,Elias Sarkis,train,5
ES1D_18_01,Elias Sarkis,val,18
ES1D_18_02,Elias Sarkis,val,24
ES1D_18_03,Elias Sarkis,val,25
ES1D_18_04,Elias Sarkis,val,23
ES4A_03_01,Elias Sarkis,test,17
ES4A_03_02,Elias Sarkis,test,16
ES4A_03_03,Elias Sarkis,test,9
ES4A_03_04,Elias Sarkis,test,19
ES4A_03_05,Elias Sarkis,test,22
ES4A_04r,Elias Sarkis,train,21
ES4A_04v,Elias Sarkis,train,6
JPK2B_42_01,Jean Philipp Kmeid,train,27
JPK2B_42_02,Jean Philipp Kmeid,train,28
JPK2B_42_03,Jean Philipp Kmeid,train,26
JPK2B_42_04,Jean Philipp Kmeid,train,23
JPK2B_78_01,Jean Philipp Kmeid,val,23
JPK2B_78_02,Jean Philipp Kmeid,val,25
JPK2B_78_03,Jean Philipp Kmeid,val,26
JPK2B_78_04,Jean Philipp Kmeid,val,26
JPK2B_65,Jean Philipp Kmeid,test,24
JPK2B_69_01,Jean Philipp Kmeid,test,23
JPK2B_69_02,Jean Philipp Kmeid,test,26
JPK2B_53_01,Jean Philipp Kmeid,train,30
JPK2B_53_02,Jean Philipp Kmeid,train,5
JPK2B_57_01,Jean Philipp Kmeid,train,27
JPK2B_57_02,Jean Philipp Kmeid,train,14
JPK2B_096_03,Jean Philipp Kmeid,train,25
JPK2B_096_04,Jean Philipp Kmeid,train,24
JPK2B_096_05,Jean Philipp Kmeid,train,14
JPK2B_40,Jean Philipp Kmeid,train,27
JPK2B_45_01,Jean Philipp Kmeid,train,24
JPK2B_45_02,Jean Philipp Kmeid,train,10
JPK2B_56_01,Jean Philipp Kmeid,train,30
JPK2B_56_02,Jean Philipp Kmeid,train,12
JPK2B_41,Jean Philipp Kmeid,train,13
JoM_Kobayat_0131,Mkhayel Daher,train,25
JoM_Kobayat_0073,Mkhayel Daher,val,24
JoM_Kobayat_0211,Mkhayel Daher,test,24
EAK1A_165r,Bishop Mkhayel Akhrass,train,22
EAK1A_151r,Bishop Mkhayel Akhrass,val,21
EAK1A_149r,Bishop Mkhayel Akhrass,test,19
EAK1A_160_01r,Bishop Mkhayel Akhrass,train,17
EAK1A_161r,Bishop Mkhayel Akhrass,train,14
JoM_Kobayat_0086,Father Botros Hasan,train,24
JoM_Kobayat_0087,Father Botros Hasan,train,19
JoM_Kobayat_0154,Father Botros Hasan,val,24
JoM_Kobayat_0121,Father Botros Hasan,test,22
JoM_Kobayat_0111,Father Botros Hasan,train,19
JoM_Kobayat_0125,Father Botros Hasan,train,20
JEH2F1_30_01r,Zaghloul,train,26
JEH2F1_30_01v,Zaghloul,train,19
JEH2F1_30_02r,Zaghloul,train,26
JEH2F1_30_02v,Zaghloul,train,25
JEH2F1_30_03r,Zaghloul,train,23
JEH2F1_30_03v,Zaghloul,train,23
JEH2F1_30_04r,Zaghloul,train,26
JEH2F1_30_04v,Zaghloul,train,25
JEH2F1_30_05,Zaghloul,train,17
JEH2E1_21_01r,Zaghloul,val,15
JEH2E1_21_02r,Zaghloul,val,14
JEH2E1_30_15r,Zaghloul,test,20
JEH2E1_59_06r,Zaghloul,train,13
JEH2E1_27r,Zaghloul,train,16
JEH2E1_59_28r,Zaghloul,train,14
JEH2E1_30_08r,Zaghloul,train,19
JEH2E1_41_01r,Zaghloul,train,16
JEH2E1_23r,Zaghloul,train,15
JEH2E1_90_03r,Zaghloul,train,16
JEH2E1_19r,Zaghloul,train,17
JEH2E1_30_13r,Zaghloul,train,19
JEH2E1_24r,Zaghloul,train,15
JEH2E1_61_08r,Zaghloul,train,13
JEH2E1_26r,Zaghloul,train,15
JEH2E1_20_04r,Zaghloul,train,17
JEH2E1_30_10r,Zaghloul,train,13
JEH2E1_22r,Zaghloul,train,15
JEH2E1_59_07r,Zaghloul,train,13
JoM_Kobayat_0546,Father Youhanna Habib Baysari,train,28
JoM_Kobayat_0547,Father Youhanna Habib Baysari,train,26
JoM_Kobayat_0548,Father Youhanna Habib Baysari,train,17
JoM_Kobayat_0565,Father Youhanna Habib Baysari,val,23
JoM_Kobayat_0566,Father Youhanna Habib Baysari,val,26
JoM_Kobayat_0567,Father Youhanna Habib Baysari,val,17
JoM_Kobayat_0020,Father Youhanna Habib Baysari,test,24
JoM_Kobayat_0021,Father Youhanna Habib Baysari,test,13
JoM_Kobayat_0694,Father Youhanna Habib Baysari,train,24
TAttallah2020-132a,Krouger Tobia Attallah,train,28
TAttallah2020-132b,Krouger Tobia Attallah,train,32
TAttallah2020-128c,Krouger Tobia Attallah,val,32
TAttallah2020-094a_resize,Krouger Tobia Attallah,test,32
TAttallah2020-130,Krouger Tobia Attallah,train,25
TAttallah2020-099a_resize,Krouger Tobia Attallah,train,29
TAttallah2020-105_resize,Krouger Tobia Attallah,train,28
TAttallah2020-122a,Krouger Tobia Attallah,train,31
TAttallah2020-103,Krouger Tobia Attallah,train,28
TAttallah2020-107_resize,Krouger Tobia Attallah,train,27
TAttallah2020-134,Krouger Tobia Attallah,train,28
TAttallah2020-125a,Krouger Tobia Attallah,train,29
TAttallah2020-107,Krouger Tobia Attallah,train,26
TAttallah2020-077,Krouger Tobia Attallah,train,26
JoM_Kobayat_0349,Father Mkhayel Zreiby,train,26
JoM_Kobayat_0350,Father Mkhayel Zreiby,train,26
JoM_Kobayat_0351,Father Mkhayel Zreiby,train,24
JoM_Kobayat_0592,Father Mkhayel Zreiby,val,21
JoM_Kobayat_0593,Father Mkhayel Zreiby,val,26
JoM_Kobayat_0594,Father Mkhayel Zreiby,val,25
JoM_Kobayat_0589,Father Mkhayel Zreiby,test,18
JoM_Kobayat_0590,Father Mkhayel Zreiby,test,21
JoM_Kobayat_0303,Father Mkhayel Zreiby,train,13
TAttallah2020-023,Father Tobia al-Issa,train,13
TAttallah2020-026,Father Tobia al-Issa,val,12
TAttallah2020-038,Father Tobia al-Issa,test,12
AR56_01_046,Girgi Dimitri Sursock,train,14
AR56_01_047,Girgi Dimitri Sursock,train,13
AR56_01_048,Girgi Dimitri Sursock,val,12
AR56_01_049,Girgi Dimitri Sursock,val,14
AR56_01_054,Girgi Dimitri Sursock,test,15
AR56_01_055,Girgi Dimitri Sursock,test,10
AR56_01_052,Girgi Dimitri Sursock,train,15
AR56_01_053,Girgi Dimitri Sursock,train,7
AR56_03_023,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,train,27
AR56_03_025,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,val,26
AR56_03_031,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,test,23
AR56_03_024,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,train,9
AR56_03_012,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,train,13
AR56_03_066,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,train,5
AR56_03_017,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,train,16
AR56_03_013,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,train,13
AR56_03_034,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,train,17
AR56_03_035,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,train,9
AR56_03_037,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,train,11
