page_id,writer,split,line_count
EAK1A_142v,Maronite Bishop of Sidon,val,20
EAK1A_142r,Maronite Bishop of Sidon,train,18
kc0061_01_02_19151008_001a,Abd al-Hajj,test,17
kc0061_01_02_19151008_001b,Abd al-Hajj,train,10
QBat3D_1471_02r,Magistrate of Batroun,train,17
JoM_Kobayat_0108,Youssef Ibrahim,test,19
JoM_Kobayat_0107,Youssef Ibrahim,train,18
BEK2A_17_02r,Margaret El Haddad,val,26
BEK2A_17_01r,Margaret El Haddad,train,14
AR56_03_002,Victor Shemil,train,12
2015 5-13b El-Khouri_Letter to Joseph from Lebanon Feb29 1960_2_1,Maroun Al-Khoury Maroun,test,19
2015 5-13 El-Khouri_Letter to Joseph from Lebanon Feb29 1960 1,Maroun Al-Khoury Maroun,train,18
YAL2A_14_01,Assad Al-Khoury,train,20
AR56_04_030,Ibrahim Mejahid Al-Jaza'eri,train,25
AR56_04_029,Ibrahim Mejahid Al-Jaza'eri,val,25
AR56_04_031,Ibrahim Mejahid Al-Jaza'eri,test,12
KEllis2020-147b,Yousef Hobeiche & Angele Ellis,train,12
FC2C_11_07,Fouad Chehab,train,21
FC2C_11_10,Fouad Chehab,val,11
FC2C_11_06,Fouad Chehab,test,21
FC2C_11_05,Fouad Chehab,train,21
FC2C_11_11,Fouad Chehab,train,11
FC2C_11_17,Fouad Chehab,train,11
FC2C_11_25,Fouad Chehab,train,9
FC2C_11_12,Fouad Chehab,train,11
FC2C_11_15,Fouad Chehab,train,11
FC2C_11_21,Fouad Chehab,train,11
FC2C_11_22,Fouad Chehab,train,11
FC2C_11_08,Fouad Chehab,train,6
FC2C_11_24,Fouad Chehab,train,11
FC2C_11_04,Fouad Chehab,train,21
FC2C_11_23,Fouad Chehab,train,11
FC2C_11_16,Fouad Chehab,train,11
FC2C_11_19,Fouad Chehab,train,11
FC2C_11_18,Fouad Chehab,train,11
FC2C_11_14,Fouad Chehab,train,11
FC2C_11_20,Fouad Chehab,train,11
FC2C_11_13,Fouad Chehab,train,11
AR56_03_007,Elia Abu Madi,val,18
AR56_03_008,Elia Abu Madi,train,17
AR56_01_049,Girgi Dimitri Sursock,train,14
AR56_01_052,Girgi Dimitri Sursock,val,15
AR56_01_055,Girgi Dimitri Sursock,test,10
AR56_01_046,Girgi Dimitri Sursock,train,14
AR56_01_054,Girgi Dimitri Sursock,train,15
AR56_01_048,Girgi Dimitri Sursock,train,12
AR56_01_047,Girgi Dimitri Sursock,train,13
AR56_01_053,Girgi Dimitri Sursock,train,7
2015 5-07b El-Khouri_Letter to Joseph from Lebanon Dec17 1959_2_2,Your nephew Maroun,train,13
2015 5-07b El-Khouri_Letter to Joseph from Lebanon Dec17 1959_2_1,Your nephew Maroun,val,16
2015 5-09b El-Khouri_Letter to Joseph from Lebanon Dec21 1960_2,Your nephew Maroun,test,20
2015 5-07 El-Khouri_Letter to Joseph from Lebanon Dec17 1959_1,Your nephew Maroun,train,19
EAK1A_067r,Youssef Nakad,train,22
BEK1A_27_01r-,Bechara El Khoury,train,16
BEK1A_27_02r-,Bechara El Khoury,val,24
BEK1A_27_02r,Bechara El Khoury,test,8
BEK1A_02r,Bechara El Khoury,train,11
BEK1A_27_01r,Bechara El Khoury,train,22
BEK2A_05_02r,Bechara El Khoury,train,26
JoM_Kobayat_0131,Mkhayel Daher,train,25
JoM_Kobayat_0073,Mkhayel Daher,val,24
JoM_Kobayat_0211,Mkhayel Daher,test,24
Oussani2018-0286_1,Brother of Joseph Oussani,train,28
EAK1A_292r,Botros El Kfouny,train,16
AF_295v,Serhal Ounaissy,train,17
TB1A_17,Toufic El Bacha,train,18
TB1A_25_01,Toufic El Bacha,val,22
TB1A_16_01,Toufic El Bacha,test,21
TB1A_16_02,Toufic El Bacha,train,20
TB1A_19,Toufic El Bacha,train,20
TB1A_18,Toufic El Bacha,train,17
YAL2A_11_02,Catherine Yazbek Al-Badawi,train,15
YAL2A_65_02,Catherine Yazbek Al-Badawi,val,17
