page_id,writer,split,line_count
EAC_D_051G,Elie Maroun Khalil,train,22
EAC_D_051F,Elie Maroun Khalil,val,21
EAC_D_051H,Elie Maroun Khalil,test,17
EAC_D_051I,Elie Maroun Khalil,train,9
AR53_01_006,Ameen Rihani,train,19
AR53_01_008,Ameen Rihani,train,21
AR53_01_009,Ameen Rihani,train,24
AR53_01_010,Ameen Rihani,train,22
AR53_01_011,Ameen Rihani,train,21
AR53_01_025,Ameen Rihani,train,21
AR53_01_026,Ameen Rihani,train,22
AR53_01_027,Ameen Rihani,train,22
AR53_01_029,Ameen Rihani,train,23
AR53_01_031,Ameen Rihani,train,14
AR53_01_033,Ameen Rihani,train,20
AR53_01_034,Ameen Rihani,train,21
AR53_01_035,Ameen Rihani,train,22
AR53_01_036,Ameen Rihani,train,22
AR53_01_037,Ameen Rihani,train,21
AR53_01_038,Ameen Rihani,train,22
AR53_01_039,Ameen Rihani,train,25
AR53_01_040,Ameen Rihani,train,25
AR53_02_205,Ameen Rihani,val,26
AR53_02_207,Ameen Rihani,val,26
AR53_02_209,Ameen Rihani,val,25
AR53_02_210,Ameen Rihani,val,24
AR53_02_211,Ameen Rihani,val,24
AR53_02_212,Ameen Rihani,val,24
AR53_02_213,Ameen Rihani,val,23
AR53_02_230,Ameen Rihani,val,26
AR53_02_246,Ameen Rihani,val,26
AR53_02_254,Ameen Rihani,val,24
AR53_02_262,Ameen Rihani,val,26
AR53_02_265,Ameen Rihani,val,25
AR69_003,Ameen Rihani,test,12
AR69_004,Ameen Rihani,test,33
AR69_005,Ameen Rihani,test,20
AR69_006,Ameen Rihani,test,37
AR69_007,Ameen Rihani,test,30
AR55_05_006,Ameen Rihani,train,19
AR55_05_007,Ameen Rihani,train,17
AR67_002,Ameen Rihani,train,20
AR67_003,Ameen Rihani,train,11
AR67_004,Ameen Rihani,train,15
AR51_008,Ameen Rihani,train,17
AR51_013,Ameen Rihani,train,18
AR51_062,Ameen Rihani,train,14
EAK1A_038r,Aziz Khoury,train,21
EAK1A_035r,Aziz Khoury,val,14
EAK1A_038v,Aziz Khoury,test,12
MeM1D_02_004v,Mkhayel Meneem,train,26
MeM1D_02_003r,Mkhayel Meneem,val,25
MeM1D_02_005r,Mkhayel Meneem,test,25
MeM1D_01_06r,Mkhayel Meneem,train,23
MeM1D_02_004r,Mkhayel Meneem,train,24
TB1A_17,Toufic El Bacha,train,18
TB1A_18,Toufic El Bacha,train,17
TB1A_19,Toufic El Bacha,train,20
TB1A_16_01,Toufic El Bacha,val,21
TB1A_16_02,Toufic El Bacha,val,20
TB1A_25_01,Toufic El Bacha,test,22
ES1D_19_01,Elias Sarkis,train,22
ES1D_19_02,Elias Sarkis,train,20
ES1D_19_03,Elias Sarkis,train,18
ES1D_19_04,Elias Sarkis,train,20
ES1D_19_05,Elias Sarkis,train,20
ES1D_19_06,Elias Sarkis,train,20
ES1D_19_07,Elias Sarkis,train,5
ES1D_18_01,Elias Sarkis,val,18
ES1D_18_02,Elias Sarkis,val,24
ES1D_18_03,Elias Sarkis,val,25
ES1D_18_04,Elias Sarkis,val,23
ES4A_03_01,Elias Sarkis,test,17
ES4A_03_02,Elias Sarkis,test,16
ES4A_03_03,Elias Sarkis,test,9
ES4A_03_04,Elias Sarkis,test,19
ES4A_03_05,Elias Sarkis,test,22
ES4A_04v,Elias Sarkis,train,6
ES4A_04r,Elias Sarkis,train,21
YS_5H_003,Youssef Hanna El-Sawda,train,24
YS_5H_004,Youssef Hanna El-Sawda,train,25
YS_5H_007,Youssef Hanna El-Sawda,train,24
YS_5H_008,Youssef Hanna El-Sawda,train,21
YS_5H_017,Youssef Hanna El-Sawda,train,21
YS_5H_011c,Youssef Hanna El-Sawda,val,28
YS_5H_011f,Youssef Hanna El-Sawda,test,24
YS_5H_017b,Youssef Hanna El-Sawda,train,20
YS_2F_022b,Youssef Hanna El-Sawda,train,19
YS_5H_011d,Youssef Hanna El-Sawda,train,10
YS_5H_017d,Youssef Hanna El-Sawda,train,21
YS_2F_022c,Youssef Hanna El-Sawda,train,20
YS_2F_022d,Youssef Hanna El-Sawda,train,18
YS_2F_022a,Youssef Hanna El-Sawda,train,16
YS_5H_011g,Youssef Hanna El-Sawda,train,20
YS_2F_022e,Youssef Hanna El-Sawda,train,17
YS_2F_022f,Youssef Hanna El-Sawda,train,11
