writer,pages_total,units_total,units_label,lines_total,eligibility,included,reason,policy
Malvina Choieree,1,1,documents,20,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Your nephew Maroun,4,2,documents,68,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Sister Victor N. Khoury,3,1,documents,57,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Maroun Al-Khoury Maroun,2,1,documents,37,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Father Youssef Nassar,1,1,documents,16,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Shibli Barakat witnesses,1,1,documents,11,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Mousssa Farhat Farah,1,1,documents,14,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Nassar Tanios Al Samarani,1,1,documents,17,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Keserwan Finance Officer,1,1,documents,14,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Serhal Ounaissy,1,1,documents,17,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Elias Abdallah,1,1,documents,20,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Your son George,11,4,documents,135,train_val_test,True,has >=3 pages,require_3way
Amin Farhat,3,3,documents,66,train_val_test,True,has >=3 pages,require_3way
Patriarch Elias Hoayek,4,4,documents,68,train_val_test,True,has >=3 pages,require_3way
Bishop Boulos Akl,3,2,documents,47,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Ameen Rihani,43,8,documents,949,train_val_test,True,has >=3 pages,require_3way
Shibli N. Damus,13,4,documents,266,train_val_test,True,has >=3 pages,require_3way
Naoum Mokarzel,3,1,documents,58,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Eissa alKhouri,6,1,documents,127,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Girgi Dimitri Sursock,8,4,documents,100,train_val_test,True,has >=3 pages,require_3way
Felix Faris,27,10,documents,480,train_val_test,True,has >=3 pages,require_3way
Muhammad Hussain Najafi,2,2,documents,32,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
May Ziadeh,12,3,documents,202,train_val_test,True,has >=3 pages,require_3way
Victor Shemil,1,1,documents,12,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Ahmed Shakir alKarmi,1,1,documents,15,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Elia Abu Madi,2,1,documents,35,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,20,20,documents,270,train_val_test,True,has >=3 pages,require_3way
Mohammed Amin al-Husseini ,3,2,documents,49,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Prof. Ign. Kratchkovsky,6,5,documents,89,train_val_test,True,has >=3 pages,require_3way
Jirjis alKsus,2,1,documents,26,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Ibrahim Mejahid Al-Jaza'eri,3,1,documents,62,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Daoud Mujaes,4,1,documents,76,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Bechara El Khoury,6,3,documents,107,train_val_test,True,has >=3 pages,require_3way
Tawfiq,1,1,documents,17,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Youssef Ibrahim Yazbek,3,1,documents,72,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Margaret El Haddad,2,1,documents,40,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Elias Abu Shabaki,8,1,documents,132,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Habib,1,1,documents,18,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Adham Al Jundi,1,1,documents,15,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Abd al-Khaliq Farid,2,2,documents,53,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Elie Maroun Khalil,4,1,documents,69,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Habib Abi Rached,1,1,documents,21,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Aziz Khoury,3,2,documents,47,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Mary Khoury,1,1,documents,15,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Ghnatyos Mbarak,5,3,documents,95,train_val_test,True,has >=3 pages,require_3way
Abdallah Sfeir,1,1,documents,20,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Youssef Nakad,1,1,documents,22,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Tanos Youssef Harfouche,1,1,documents,20,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
JerJi Ass'ad Nader,1,1,documents,14,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Habib Abdallah al-Khoury,1,1,documents,22,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Serhal Maroun 'Tiyyeh,1,1,documents,21,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Hanna Estphan,2,1,documents,34,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Slayman al-Farkh,1,1,documents,18,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Habib Boulos Nasr,1,1,documents,20,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Botros Feghaly,3,1,documents,66,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Toufiq Wehbeh,8,1,documents,157,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Maronite Bishop of Sidon,2,1,documents,38,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Halim Khoury Saadeh,2,1,documents,44,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Jebrayel Sa'd al 'Alam,1,1,documents,19,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Najib Ayoub,2,1,documents,40,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
