writer,pages_total,units_total,units_label,lines_total,eligibility,included,reason,policy
Malvina Choieree,1,1,pages,20,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Your nephew Maroun,4,4,pages,68,train_val_test,True,has >=3 pages,require_3way
Sister Victor N. Khoury,3,3,pages,57,train_val_test,True,has >=3 pages,require_3way
Maroun Al-Khoury Maroun,2,2,pages,37,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Father Youssef Nassar,1,1,pages,16,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Shibli Barakat witnesses,1,1,pages,11,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Mousssa Farhat Farah,1,1,pages,14,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Nassar Tanios Al Samarani,1,1,pages,17,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Keserwan Finance Officer,1,1,pages,14,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Serhal Ounaissy,1,1,pages,17,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Elias Abdallah,1,1,pages,20,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Your son George,11,11,pages,135,train_val_test,True,has >=3 pages,require_3way
Amin Farhat,3,3,pages,66,train_val_test,True,has >=3 pages,require_3way
Patriarch Elias Hoayek,4,4,pages,68,train_val_test,True,has >=3 pages,require_3way
Bishop Boulos Akl,3,3,pages,47,train_val_test,True,has >=3 pages,require_3way
Ameen Rihani,43,43,pages,949,train_val_test,True,has >=3 pages,require_3way
Shibli N. Damus,13,13,pages,266,train_val_test,True,has >=3 pages,require_3way
Naoum Mokarzel,3,3,pages,58,train_val_test,True,has >=3 pages,require_3way
Eissa alKhouri,6,6,pages,127,train_val_test,True,has >=3 pages,require_3way
Girgi Dimitri Sursock,8,8,pages,100,train_val_test,True,has >=3 pages,require_3way
Felix Faris,27,27,pages,480,train_val_test,True,has >=3 pages,require_3way
Muhammad Hussain Najafi,2,2,pages,32,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
May Ziadeh,12,12,pages,202,train_val_test,True,has >=3 pages,require_3way
Victor Shemil,1,1,pages,12,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Ahmed Shakir alKarmi,1,1,pages,15,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Elia Abu Madi,2,2,pages,35,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,20,20,pages,270,train_val_test,True,has >=3 pages,require_3way
Mohammed Amin al-Husseini ,3,3,pages,49,train_val_test,True,has >=3 pages,require_3way
Prof. Ign. Kratchkovsky,6,6,pages,89,train_val_test,True,has >=3 pages,require_3way
Jirjis alKsus,2,2,pages,26,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Ibrahim Mejahid Al-Jaza'eri,3,3,pages,62,train_val_test,True,has >=3 pages,require_3way
Daoud Mujaes,4,4,pages,76,train_val_test,True,has >=3 pages,require_3way
Bechara El Khoury,6,6,pages,107,train_val_test,True,has >=3 pages,require_3way
Tawfiq,1,1,pages,17,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Youssef Ibrahim Yazbek,3,3,pages,72,train_val_test,True,has >=3 pages,require_3way
Margaret El Haddad,2,2,pages,40,insufficient_2_pages,False,requires >=3 pages for 3-way split,require_3way
Elias Abu Shabaki,8,8,pages,132,train_val_test,True,has >=3 pages,require_3way
Habib,1,1,pages,18,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
Adham Al Jundi,1,1,pages,15,insufficient_1_page,False,requires >=3 pages for 3-way split,require_3way
