seed,writer,pages_total,lines_total,pages_train,pages_val,pages_test,lines_train,lines_val,lines_test,min_lines_page,max_lines_page,splittable_3_way,has_val,has_test
42,Your nephew Maroun,4,68,2,1,1,29,20,19,13,20,True,True,True
42,Sister Victor N. Khoury,3,57,1,1,1,18,19,20,18,20,True,True,True
42,Your son George,11,135,4,4,3,51,53,31,7,15,True,True,True
42,Amin Farhat,3,66,1,1,1,20,21,25,20,25,True,True,True
42,Patriarch Elias Hoayek,4,68,2,1,1,28,22,18,12,22,True,True,True
42,Bishop Boulos Akl,3,47,1,1,1,18,16,13,13,18,True,True,True
42,Ameen Rihani,43,949,41,1,1,901,22,26,11,37,True,True,True
42,Shibli N. Damus,13,266,11,1,1,232,19,15,11,48,True,True,True
42,Naoum Mokarzel,3,58,1,1,1,18,20,20,18,20,True,True,True
42,Eissa alKhouri,6,127,4,1,1,87,22,18,18,25,True,True,True
42,Girgi Dimitri Sursock,8,100,6,1,1,71,14,15,7,15,True,True,True
42,Felix Faris,27,480,8,10,9,165,160,155,5,27,True,True,True
42,May Ziadeh,12,202,4,4,4,87,58,57,10,23,True,True,True
42,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,20,270,7,7,6,93,87,90,3,27,True,True,True
42,Mohammed Amin al-Husseini ,3,49,1,1,1,13,17,19,13,19,True,True,True
42,Prof. Ign. Kratchkovsky,6,89,4,1,1,55,21,13,9,21,True,True,True
42,Ibrahim Mejahid Al-Jaza'eri,3,62,1,1,1,25,12,25,12,25,True,True,True
42,Daoud Mujaes,4,76,1,2,1,19,39,18,18,21,True,True,True
42,Bechara El Khoury,6,107,4,1,1,67,24,16,8,26,True,True,True
42,Youssef Ibrahim Yazbek,3,72,1,1,1,20,24,28,20,28,True,True,True
42,Elias Abu Shabaki,8,132,6,1,1,103,16,13,13,19,True,True,True
42,Elie Maroun Khalil,4,69,2,1,1,31,21,17,9,22,True,True,True
42,Aziz Khoury,3,47,1,1,1,12,21,14,12,21,True,True,True
42,Ghnatyos Mbarak,5,95,3,1,1,63,17,15,15,26,True,True,True
42,Botros Feghaly,3,66,1,1,1,21,24,21,21,24,True,True,True
42,Toufiq Wehbeh,8,157,6,1,1,114,21,22,17,22,True,True,True
42,Bishop Mkhayel Akhrass,5,93,3,1,1,57,14,22,14,22,True,True,True
42,George Saad,7,111,2,2,3,30,33,48,10,19,True,True,True
42,Bishop Aghnathios Mbarak,9,163,3,3,3,58,48,57,15,23,True,True,True
42,Fathallah Khoury,4,73,2,1,1,39,14,20,14,22,True,True,True
42,Elias Sarkis,18,325,16,1,1,278,25,22,5,25,True,True,True
42,Fouad Chehab,21,264,7,7,7,87,82,95,6,21,True,True,True
42,Hanna Moussa,41,876,13,14,14,281,293,302,17,27,True,True,True
42,Habib Massoud,5,100,3,1,1,57,23,20,14,26,True,True,True
42,Zaghloul,28,505,26,1,1,473,15,17,13,26,True,True,True
42,Father Youhanna Habib Baysari,9,198,3,3,3,76,64,58,13,28,True,True,True
42,Mkhayel Daher,3,73,1,1,1,25,24,24,24,25,True,True,True
42,Father Youssef Hanna & Father Botros Hasan,3,63,1,1,1,18,22,23,18,23,True,True,True
42,Father Botros Hasan,6,128,3,2,1,63,41,24,19,24,True,True,True
42,Father Youssef Hajj,3,63,1,1,1,21,22,20,20,22,True,True,True
42,Father Mkhayel Zreiby,9,200,7,1,1,161,26,13,13,26,True,True,True
42,Father Mikhael Hanna,4,71,1,1,2,16,21,34,16,21,True,True,True
42,Jean Philipp Kmeid,24,532,22,1,1,475,27,30,5,30,True,True,True
42,Michel Saykali,45,791,43,1,1,753,14,24,5,28,True,True,True
42,Hanna Ghayth (Juan Gait),68,934,64,2,2,880,30,24,9,16,True,True,True
42,Yousef Hobeiche,23,432,8,7,8,136,157,139,14,25,True,True,True
42,Angele Ellis,4,75,2,1,1,33,15,27,10,27,True,True,True
42,Khalil Yossuf Nader Raad,22,453,20,1,1,425,10,18,5,32,True,True,True
42,Mansour Eid,12,271,10,1,1,225,23,23,18,29,True,True,True
42,Mkhayel Meneem,5,123,3,1,1,75,23,25,23,26,True,True,True
42,Constantine Elias,5,84,3,1,1,56,8,20,8,21,True,True,True
42,Maurice Gemayel,6,67,4,1,1,43,12,12,6,17,True,True,True
42,Murshid Habashi,4,96,2,1,1,52,22,22,22,26,True,True,True
42,Michel Kahwaji,25,412,23,1,1,383,16,13,6,22,True,True,True
42,Mayor of Kfarshima,13,426,11,1,1,360,34,32,23,40,True,True,True
42,Sohayl Tohmeh,28,848,26,1,1,779,36,33,14,37,True,True,True
42,Shukri Kanaan,4,134,2,1,1,69,32,33,32,36,True,True,True
42,Emily Nasrallah,48,602,46,1,1,579,12,11,8,15,True,True,True
42,Joseph Oussani,16,400,14,1,1,351,26,23,23,29,True,True,True
42,Father Boulos El-Mender,10,171,3,3,4,41,56,74,12,23,True,True,True
42,Salah Tizani,48,875,46,1,1,835,20,20,15,22,True,True,True
42,Father Elias Bassil,3,50,1,1,1,17,21,12,12,21,True,True,True
42,Father Tobia al-Issa,3,37,1,1,1,13,12,12,12,13,True,True,True
42,Assad Darouich Zacharias,5,94,3,1,1,60,17,17,17,25,True,True,True
42,Asaad Koury Tobia Attallah,3,42,1,1,1,10,20,12,10,20,True,True,True
42,Krouger Tobia Attallah,14,401,12,1,1,346,27,28,25,32,True,True,True
42,Toufic El Bacha,6,118,4,1,1,81,20,17,17,22,True,True,True
42,Catherine Yazbek Al-Badawi,4,67,2,1,1,35,15,17,15,18,True,True,True
42,Youssef Fadlallah Salemeh,12,199,4,4,4,66,60,73,12,20,True,True,True
42,Bishop Youssef Darian,9,163,7,1,1,130,16,17,14,22,True,True,True
42,Youssef Hanna El-Sawda,17,339,6,5,6,111,109,119,10,28,True,True,True
570,Your nephew Maroun,4,68,2,1,1,36,13,19,13,20,True,True,True
570,Sister Victor N. Khoury,3,57,1,1,1,20,19,18,18,20,True,True,True
570,Your son George,11,135,9,1,1,107,13,15,7,15,True,True,True
570,Amin Farhat,3,66,1,1,1,20,21,25,20,25,True,True,True
570,Patriarch Elias Hoayek,4,68,2,1,1,34,12,22,12,22,True,True,True
570,Bishop Boulos Akl,3,47,1,1,1,16,18,13,13,18,True,True,True
570,Ameen Rihani,43,949,14,14,15,322,307,320,11,37,True,True,True
570,Shibli N. Damus,13,266,11,1,1,231,15,20,11,48,True,True,True
570,Naoum Mokarzel,3,58,1,1,1,20,18,20,18,20,True,True,True
570,Eissa alKhouri,6,127,2,2,2,50,41,36,18,25,True,True,True
570,Girgi Dimitri Sursock,8,100,6,1,1,76,10,14,7,15,True,True,True
570,Felix Faris,27,480,25,1,1,446,10,24,5,27,True,True,True
570,May Ziadeh,12,202,10,1,1,172,17,13,10,23,True,True,True
570,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,20,270,18,1,1,246,11,13,3,27,True,True,True
570,Mohammed Amin al-Husseini ,3,49,1,1,1,13,19,17,13,19,True,True,True
570,Prof. Ign. Kratchkovsky,6,89,4,1,1,55,21,13,9,21,True,True,True
570,Ibrahim Mejahid Al-Jaza'eri,3,62,1,1,1,12,25,25,12,25,True,True,True
570,Daoud Mujaes,4,76,2,1,1,37,21,18,18,21,True,True,True
570,Bechara El Khoury,6,107,4,1,1,67,24,16,8,26,True,True,True
570,Youssef Ibrahim Yazbek,3,72,1,1,1,28,20,24,20,28,True,True,True
570,Elias Abu Shabaki,8,132,6,1,1,97,17,18,13,19,True,True,True
