seed,writer,splits,pages_total,lines_total
42,Abd al-Hajj,"train,val",2,27
42,Abd al-Khaliq Farid,"test,train",2,53
42,Abdallah Daher,train,1,13
42,Abdallah Sfeir,train,1,20
42,Abdo Fares,train,1,17
42,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,"test,train,val",20,270
42,Adham Al Jundi,train,1,15
42,Adib Shiha,train,1,24
42,Ahmed Shakir alKarmi,train,1,15
42,Ameen Rihani,"test,train,val",43,949
42,Amin Farhat,"test,train,val",3,66
42,Angele Ellis,"test,train,val",4,75
42,Antoine Richa,train,1,25
42,Antonios Elias,train,1,19
42,Asaad Koury Tobia Attallah,"test,train,val",3,42
42,Assad Al-Khoury,train,1,20
42,Assad Darouich Zacharias,"test,train,val",5,94
42,Aziz Khoury,"test,train,val",3,47
42,Bechara El Khoury,"test,train,val",6,107
42,Bishara Mar'i Mansour,"train,val",2,42
42,Bishop Aghnathios Mbarak,"test,train,val",9,163
42,Bishop Antoun Jbeir,train,1,21
42,Bishop Boulos Akl,"test,train,val",3,47
42,Bishop Mkhayel Akhrass,"test,train,val",5,93
42,Bishop Youseef El Khazen,train,1,22
42,Bishop Youssef Darian,"test,train,val",9,163
42,Botros El Kfouny,train,1,16
42,Botros Feghaly,"test,train,val",3,66
42,Brother Ibrahim,train,1,15
42,Brother of Joseph Oussani,train,1,28
42,Catherine Yazbek Al-Badawi,"test,train,val",4,67
42,Constantine Elias,"test,train,val",5,84
42,Dani Al-Sibaqa,train,1,24
42,Daoud Mujaes,"test,train,val",4,76
42,Daud Barkaat,train,1,19
42,Dr. Abdo Harb,train,1,22
42,Eissa alKhouri,"test,train,val",6,127
42,Elia Abu Madi,"train,val",2,35
42,Elias Abdallah,train,1,20
42,Elias Abu Shabaki,"test,train,val",8,132
42,Elias Asaf,"test,train",2,53
42,Elias Karbaj,"test,train",2,32
42,Elias Sarkis,"test,train,val",18,325
42,Elie Maroun Khalil,"test,train,val",4,69
42,Emily Nasrallah,"test,train,val",48,602
42,Estephan Adib Salloum,"test,train",2,53
42,Fathallah Khoury,"test,train,val",4,73
42,Father Botros Dib,train,1,25
42,Father Botros Hasan,"test,train,val",6,128
42,Father Boulos El-Mender,"test,train,val",10,171
42,Father Boutros Chidiac,train,1,14
42,Father Elias,train,1,10
42,Father Elias Abi Khair,train,1,26
42,Father Elias Bassil,"test,train,val",3,50
42,Father Elias Najm,"train,val",2,53
42,Father Jerjes El Alam,train,1,20
42,Father Mikhael Hanna,"test,train,val",4,71
42,Father Mkhayel Zreiby,"test,train,val",9,200
42,Father Tobia al-Issa,"test,train,val",3,37
42,Father Yaacoub Awad,train,1,19
42,Father Youhanna El Khoury,"train,val",2,32
42,Father Youhanna Habib Baysari,"test,train,val",9,198
42,Father Yousef,train,1,17
42,Father Youssef Hajj,"test,train,val",3,63
42,Father Youssef Hanna,"train,val",2,46
42,Father Youssef Hanna & Father Botros Hasan,"test,train,val",3,63
42,Father Youssef Iskandar,train,1,23
42,Father Youssef Nassar,train,1,16
42,Felix Faris,"test,train,val",27,480
42,Fouad Chehab,"test,train,val",21,264
42,Francis Hcheme,train,1,21
42,Francis Lahoud,train,1,20
42,George Saad,"test,train,val",7,111
42,Georges Jarjoura,train,1,15
42,Ghnatyos Mbarak,"test,train,val",5,95
42,Girgi Dimitri Sursock,"test,train,val",8,100
42,Habib,train,1,18
42,Habib Abdallah al-Khoury,train,1,22
42,Habib Abi Rached,train,1,21
42,Habib Boulos Nasr,train,1,20
42,Habib Massoud,"test,train,val",5,100
42,Halim Khoury Saadeh,"test,train",2,44
42,Hanna Estphan,"test,train",2,34
42,Hanna Ghayth (Juan Gait),"test,train,val",68,934
42,Hanna Moussa,"test,train,val",41,876
42,Hanna Younes Abboud,train,1,20
42,Hassan Khalil,"test,train",2,40
42,Ibrahim Mejahid Al-Jaza'eri,"test,train,val",3,62
42,Jamil Youssef Noah,"test,train",2,28
42,Jarhas Hanna Al-Shabtini,train,1,17
42,Jean Philipp Kmeid,"test,train,val",24,532
42,Jebrayel Sa'd al 'Alam,train,1,19
42,JerJi Ass'ad Nader,train,1,14
42,Jerji Nicola Khattar al-Chuayri,"train,val",2,29
42,Jirjis Yuhanna Basil ,train,1,17
42,Jirjis alKsus,"test,train",2,26
42,Joseph,"test,train",2,34
42,Joseph Oussani,"test,train,val",16,400
42,K. John,train,1,15
42,Keserwan Finance Officer,train,1,14
42,Khalil Yossuf Nader Raad,"test,train,val",22,453
42,Krouger Tobia Attallah,"test,train,val",14,401
42,Lebanese immigrants,"test,train",2,35
42,Magistrate of Batroun,train,1,17
42,Malvina Choieree,train,1,20
42,Mansour Eid,"test,train,val",12,271
42,Margaret El Haddad,"train,val",2,40
42,Maronite Bishop of Sidon,"test,train",2,38
42,Maronite children of Akkar district,train,1,12
42,Maroun Al-Khoury Maroun,"test,train",2,37
42,Mary Khoury,train,1,15
42,Maurice Gemayel,"test,train,val",6,67
42,Maurice Paul Sarrail,"train,val",2,37
42,May Ziadeh,"test,train,val",12,202
42,Mayor of Kfarshima,"test,train,val",13,426
42,Michel Kahwaji,"test,train,val",25,412
42,Michel Saykali,"test,train,val",45,791
42,Mkhayel & Ibrahim Daher,"train,val",2,36
42,Mkhayel Daher,"test,train,val",3,73
42,Mkhayel Meneem,"test,train,val",5,123
42,Mohammed Amin al-Husseini ,"test,train,val",3,49
42,Mousssa Farhat Farah,train,1,14
42,Muhammad Hussain Najafi,"train,val",2,32
42,Muhawwel Harouh,train,1,16
42,Murshid Habashi,"test,train,val",4,96
42,Nadim Attallah,train,1,26
42,Najib Ayoub,"test,train",2,40
42,Naoum Mokarzel,"test,train,val",3,58
42,Nassar Tanios Al Samarani,train,1,17
42,Nassif Mansour,train,1,14
42,Negib Aboussouan,train,1,24
42,Nehad,"test,train",2,18
42,Nehme Elias Mikhail,train,1,12
42,Patriarch Elias Hoayek,"test,train,val",4,68
42,People of Rablah,train,1,15
42,Peter the Patriarch of Antioch,train,1,24
42,Prof. Ign. Kratchkovsky,"test,train,val",6,89
42,Rahma Raad,train,1,14
42,Salah Tizani,"test,train,val",48,875
42,Salim Maalouf,train,1,16
42,Sally Aad,train,1,23
42,Serhal Maroun 'Tiyyeh,train,1,21
42,Serhal Ounaissy,train,1,17
42,Shibli Barakat witnesses,train,1,11
42,Shibli N. Damus,"test,train,val",13,266
42,Shukri Kanaan,"test,train,val",4,134
42,Shukri Kordahi,train,1,32
42,Sister Victor N. Khoury,"test,train,val",3,57
42,Slayman al-Farkh,train,1,18
42,Sohayl Tohmeh,"test,train,val",28,848
42,Talaat,"train,val",2,30
42,Tanios Zakhia Elias Basil,train,1,14
42,Tannous Semaan,train,1,16
42,Tanos Youssef Harfouche,train,1,20
42,Tawfiq,train,1,17
42,Thomas & John Oussani,train,1,14
42,Toubia Hanna Rizk & Touma Chidiac,train,1,17
42,Toufic El Bacha,"test,train,val",6,118
42,Toufiq Wehbeh,"test,train,val",8,157
42,Victor Shemil,train,1,12
42,Wadih Salim Karam,train,1,21
42,Warda El Khoury,train,1,18
42,Yahia Mansour & Asaad Koury,train,1,15
42,Youhanna Sfeir,"test,train",2,35
42,Your nephew Maroun,"test,train,val",4,68
42,Your son George,"test,train,val",11,135
42,Yousef Hobeiche,"test,train,val",23,432
42,Yousef Hobeiche & Angele Ellis,train,1,12
42,Youssef,train,1,21
42,Youssef Abdullah Maroun,"train,val",2,30
42,Youssef Bey Al-Helou,train,1,15
42,Youssef Fadlallah Salemeh,"test,train,val",12,199
42,Youssef Hanna El-Sawda,"test,train,val",17,339
42,Youssef Ibrahim,"test,train",2,37
42,Youssef Ibrahim Yazbek,"test,train,val",3,72
42,Youssef Moussa Sadaqa,train,1,16
42,Youssef Nakad,train,1,22
42,Zaghloul,"test,train,val",28,505
42,Zaghloul ad-Damour,train,1,19
