writer,pages_total,units_total,units_label,lines_total,eligibility,included,reason,policy
Malvina Choieree,1,1,pages,20,train_only,True,single page,allow_train_only
Your nephew Maroun,4,4,pages,68,train_val_test,True,has >=3 pages,allow_train_only
Sister Victor N. Khoury,3,3,pages,57,train_val_test,True,has >=3 pages,allow_train_only
Maroun Al-Khoury Maroun,2,2,pages,37,train_plus_val_or_test,True,2 pages; only one of val/test possible,allow_train_only
Father Youssef Nassar,1,1,pages,16,train_only,True,single page,allow_train_only
Shibli Barakat witnesses,1,1,pages,11,train_only,True,single page,allow_train_only
Mousssa Farhat Farah,1,1,pages,14,train_only,True,single page,allow_train_only
Nassar Tanios Al Samarani,1,1,pages,17,train_only,True,single page,allow_train_only
Keserwan Finance Officer,1,1,pages,14,train_only,True,single page,allow_train_only
Serhal Ounaissy,1,1,pages,17,train_only,True,single page,allow_train_only
Elias Abdallah,1,1,pages,20,train_only,True,single page,allow_train_only
Your son George,11,11,pages,135,train_val_test,True,has >=3 pages,allow_train_only
Amin Farhat,3,3,pages,66,train_val_test,True,has >=3 pages,allow_train_only
Patriarch Elias Hoayek,4,4,pages,68,train_val_test,True,has >=3 pages,allow_train_only
Bishop Boulos Akl,3,3,pages,47,train_val_test,True,has >=3 pages,allow_train_only
Ameen Rihani,43,43,pages,949,train_val_test,True,has >=3 pages,allow_train_only
Shibli N. Damus,13,13,pages,266,train_val_test,True,has >=3 pages,allow_train_only
Naoum Mokarzel,3,3,pages,58,train_val_test,True,has >=3 pages,allow_train_only
Eissa alKhouri,6,6,pages,127,train_val_test,True,has >=3 pages,allow_train_only
Girgi Dimitri Sursock,8,8,pages,100,train_val_test,True,has >=3 pages,allow_train_only
Felix Faris,27,27,pages,480,train_val_test,True,has >=3 pages,allow_train_only
Muhammad Hussain Najafi,2,2,pages,32,train_plus_val_or_test,True,2 pages; only one of val/test possible,allow_train_only
May Ziadeh,12,12,pages,202,train_val_test,True,has >=3 pages,allow_train_only
Victor Shemil,1,1,pages,12,train_only,True,single page,allow_train_only
Ahmed Shakir alKarmi,1,1,pages,15,train_only,True,single page,allow_train_only
Elia Abu Madi,2,2,pages,35,train_plus_val_or_test,True,2 pages; only one of val/test possible,allow_train_only
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,20,20,pages,270,train_val_test,True,has >=3 pages,allow_train_only
Mohammed Amin al-Husseini ,3,3,pages,49,train_val_test,True,has >=3 pages,allow_train_only
Prof. Ign. Kratchkovsky,6,6,pages,89,train_val_test,True,has >=3 pages,allow_train_only
Jirjis alKsus,2,2,pages,26,train_plus_val_or_test,True,2 pages; only one of val/test possible,allow_train_only
Ibrahim Mejahid Al-Jaza'eri,3,3,pages,62,train_val_test,True,has >=3 pages,allow_train_only
Daoud Mujaes,4,4,pages,76,train_val_test,True,has >=3 pages,allow_train_only
Bechara El Khoury,6,6,pages,107,train_val_test,True,has >=3 pages,allow_train_only
Tawfiq,1,1,pages,17,train_only,True,single page,allow_train_only
Youssef Ibrahim Yazbek,3,3,pages,72,train_val_test,True,has >=3 pages,allow_train_only
Margaret El Haddad,2,2,pages,40,train_plus_val_or_test,True,2 pages; only one of val/test possible,allow_train_only
Elias Abu Shabaki,8,8,pages,132,train_val_test,True,has >=3 pages,allow_train_only
Habib,1,1,pages,18,train_only,True,single page,allow_train_only
Adham Al Jundi,1,1,pages,15,train_only,True,single page,allow_train_only
Abd al-Khaliq Farid,2,2,pages,53,train_plus_val_or_test,True,2 pages; only one of val/test possible,allow_train_only
Elie Maroun Khalil,4,4,pages,69,train_val_test,True,has >=3 pages,allow_train_only
Habib Abi Rached,1,1,pages,21,train_only,True,single page,allow_train_only
Aziz Khoury,3,3,pages,47,train_val_test,True,has >=3 pages,allow_train_only
Mary Khoury,1,1,pages,15,train_only,True,single page,allow_train_only
Ghnatyos Mbarak,5,5,pages,95,train_val_test,True,has >=3 pages,allow_train_only
Abdallah Sfeir,1,1,pages,20,train_only,True,single page,allow_train_only
Youssef Nakad,1,1,pages,22,train_only,True,single page,allow_train_only
Tanos Youssef Harfouche,1,1,pages,20,train_only,True,single page,allow_train_only
JerJi Ass'ad Nader,1,1,pages,14,train_only,True,single page,allow_train_only
