seed,writer,pages_total,lines_total,pages_train,pages_val,pages_test,lines_train,lines_val,lines_test,min_lines_page,max_lines_page,splittable_3_way,has_val,has_test
42,Malvina Choieree,1,20,1,0,0,20,0,0,20,20,False,False,False
42,Your nephew Maroun,4,68,1,1,2,13,16,39,13,20,True,True,True
42,Sister Victor N. Khoury,3,57,1,1,1,20,18,19,18,20,True,True,True
42,Maroun Al-Khoury Maroun,2,37,1,0,1,18,0,19,18,19,False,False,True
42,Father Youssef Nassar,1,16,1,0,0,16,0,0,16,16,False,False,False
42,Shibli Barakat witnesses,1,11,1,0,0,11,0,0,11,11,False,False,False
42,Mousssa Farhat Farah,1,14,1,0,0,14,0,0,14,14,False,False,False
42,Nassar Tanios Al Samarani,1,17,1,0,0,17,0,0,17,17,False,False,False
42,Keserwan Finance Officer,1,14,1,0,0,14,0,0,14,14,False,False,False
42,Serhal Ounaissy,1,17,1,0,0,17,0,0,17,17,False,False,False
42,Elias Abdallah,1,20,1,0,0,20,0,0,20,20,False,False,False
42,Your son George,11,135,2,5,4,25,58,52,7,15,True,True,True
42,Amin Farhat,3,66,1,1,1,25,20,21,20,25,True,True,True
42,Patriarch Elias Hoayek,4,68,2,1,1,38,12,18,12,22,True,True,True
42,Bishop Boulos Akl,3,47,1,1,1,16,13,18,13,18,True,True,True
42,Ameen Rihani,43,949,41,1,1,914,21,14,11,37,True,True,True
42,Shibli N. Damus,13,266,11,1,1,228,19,19,11,48,True,True,True
42,Naoum Mokarzel,3,58,1,1,1,18,20,20,18,20,True,True,True
42,Eissa alKhouri,6,127,4,1,1,86,22,19,18,25,True,True,True
42,Girgi Dimitri Sursock,8,100,6,1,1,77,13,10,7,15,True,True,True
42,Felix Faris,27,480,9,9,9,143,167,170,5,27,True,True,True
42,Muhammad Hussain Najafi,2,32,1,1,0,14,18,0,14,18,False,True,False
42,May Ziadeh,12,202,4,4,4,56,69,77,10,23,True,True,True
42,Victor Shemil,1,12,1,0,0,12,0,0,12,12,False,False,False
42,Ahmed Shakir alKarmi,1,15,1,0,0,15,0,0,15,15,False,False,False
42,Elia Abu Madi,2,35,1,1,0,17,18,0,17,18,False,True,False
42,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,20,270,7,5,8,91,81,98,3,27,True,True,True
42,Mohammed Amin al-Husseini ,3,49,1,1,1,19,17,13,13,19,True,True,True
42,Prof. Ign. Kratchkovsky,6,89,1,3,2,9,38,42,9,21,True,True,True
42,Jirjis alKsus,2,26,1,0,1,13,0,13,13,13,False,False,True
42,Ibrahim Mejahid Al-Jaza'eri,3,62,1,1,1,12,25,25,12,25,True,True,True
42,Daoud Mujaes,4,76,1,1,2,21,19,36,18,21,True,True,True
42,Bechara El Khoury,6,107,4,1,1,75,24,8,8,26,True,True,True
42,Tawfiq,1,17,1,0,0,17,0,0,17,17,False,False,False
42,Youssef Ibrahim Yazbek,3,72,1,1,1,20,24,28,20,28,True,True,True
42,Margaret El Haddad,2,40,1,1,0,14,26,0,14,26,False,True,False
42,Elias Abu Shabaki,8,132,6,1,1,96,19,17,13,19,True,True,True
42,Habib,1,18,1,0,0,18,0,0,18,18,False,False,False
42,Adham Al Jundi,1,15,1,0,0,15,0,0,15,15,False,False,False
42,Abd al-Khaliq Farid,2,53,1,0,1,26,0,27,26,27,False,False,True
42,Elie Maroun Khalil,4,69,1,2,1,21,39,9,9,22,True,True,True
42,Habib Abi Rached,1,21,1,0,0,21,0,0,21,21,False,False,False
42,Aziz Khoury,3,47,1,1,1,21,12,14,12,21,True,True,True
42,Mary Khoury,1,15,1,0,0,15,0,0,15,15,False,False,False
42,Ghnatyos Mbarak,5,95,3,1,1,52,17,26,15,26,True,True,True
42,Abdallah Sfeir,1,20,1,0,0,20,0,0,20,20,False,False,False
42,Youssef Nakad,1,22,1,0,0,22,0,0,22,22,False,False,False
42,Tanos Youssef Harfouche,1,20,1,0,0,20,0,0,20,20,False,False,False
42,JerJi Ass'ad Nader,1,14,1,0,0,14,0,0,14,14,False,False,False
42,Habib Abdallah al-Khoury,1,22,1,0,0,22,0,0,22,22,False,False,False
42,Serhal Maroun 'Tiyyeh,1,21,1,0,0,21,0,0,21,21,False,False,False
42,Hanna Estphan,2,34,1,0,1,17,0,17,17,17,False,False,True
42,Slayman al-Farkh,1,18,1,0,0,18,0,0,18,18,False,False,False
42,Habib Boulos Nasr,1,20,1,0,0,20,0,0,20,20,False,False,False
42,Botros Feghaly,3,66,1,1,1,21,21,24,21,24,True,True,True
42,Toufiq Wehbeh,8,157,1,3,4,17,65,75,17,22,True,True,True
42,Maronite Bishop of Sidon,2,38,1,0,1,18,0,20,18,20,False,False,True
42,Halim Khoury Saadeh,2,44,1,0,1,21,0,23,21,23,False,False,True
42,Jebrayel Sa'd al 'Alam,1,19,1,0,0,19,0,0,19,19,False,False,False
42,Najib Ayoub,2,40,1,0,1,19,0,21,19,21,False,False,True
42,Youhanna Sfeir,2,35,1,0,1,16,0,19,16,19,False,False,True
42,Bishop Mkhayel Akhrass,5,93,3,1,1,55,17,21,14,22,True,True,True
42,George Saad,7,111,2,3,2,29,44,38,10,19,True,True,True
42,Bishop Youseef El Khazen,1,22,1,0,0,22,0,0,22,22,False,False,False
42,Father Elias Najm,2,53,1,1,0,23,30,0,23,30,False,True,False
42,Bishop Aghnathios Mbarak,9,163,7,1,1,131,17,15,15,23,True,True,True
42,Dr. Abdo Harb,1,22,1,0,0,22,0,0,22,22,False,False,False
42,Fathallah Khoury,4,73,1,2,1,17,36,20,14,22,True,True,True
42,Antonios Elias,1,19,1,0,0,19,0,0,19,19,False,False,False
42,Francis Hcheme,1,21,1,0,0,21,0,0,21,21,False,False,False
42,Antoine Richa,1,25,1,0,0,25,0,0,25,25,False,False,False
42,Botros El Kfouny,1,16,1,0,0,16,0,0,16,16,False,False,False
42,Salim Maalouf,1,16,1,0,0,16,0,0,16,16,False,False,False
42,Father Yaacoub Awad,1,19,1,0,0,19,0,0,19,19,False,False,False
42,Wadih Salim Karam,1,21,1,0,0,21,0,0,21,21,False,False,False
42,Father Youhanna El Khoury,2,32,1,1,0,15,17,0,15,17,False,True,False
42,Georges Jarjoura,1,15,1,0,0,15,0,0,15,15,False,False,False
42,Father Jerjes El Alam,1,20,1,0,0,20,0,0,20,20,False,False,False
42,Father Botros Dib,1,25,1,0,0,25,0,0,25,25,False,False,False
42,Elias Sarkis,18,325,16,1,1,283,22,20,5,25,True,True,True
42,Fouad Chehab,21,264,19,1,1,242,11,11,6,21,True,True,True
42,Hanna Moussa,41,876,39,1,1,831,24,21,17,27,True,True,True
42,Zaghloul ad-Damour,1,19,1,0,0,19,0,0,19,19,False,False,False
42,Habib Massoud,5,100,3,1,1,60,26,14,14,26,True,True,True
42,Zaghloul,28,505,6,12,10,105,209,191,13,26,True,True,True
42,Father Youhanna Habib Baysari,9,198,7,1,1,146,28,24,13,28,True,True,True
42,Mkhayel Daher,3,73,1,1,1,25,24,24,24,25,True,True,True
42,Father Youssef Hanna,2,46,1,1,0,22,24,0,22,24,False,True,False
42,Father Youssef Iskandar,1,23,1,0,0,23,0,0,23,23,False,False,False
42,Adib Shiha,1,24,1,0,0,24,0,0,24,24,False,False,False
42,Father Youssef Hanna & Father Botros Hasan,3,63,1,1,1,23,18,22,18,23,True,True,True
42,Father Botros Hasan,6,128,2,2,2,39,48,41,19,24,True,True,True
42,Youssef Ibrahim,2,37,1,0,1,18,0,19,18,19,False,False,True
42,Father Youssef Hajj,3,63,1,1,1,21,22,20,20,22,True,True,True
42,Abdallah Daher,1,13,1,0,0,13,0,0,13,13,False,False,False
42,Mkhayel & Ibrahim Daher,2,36,1,1,0,16,20,0,16,20,False,True,False
42,Tannous Semaan,1,16,1,0,0,16,0,0,16,16,False,False,False
42,Father Mkhayel Zreiby,9,200,3,3,3,65,65,70,13,26,True,True,True
42,People of Rablah,1,15,1,0,0,15,0,0,15,15,False,False,False
42,Father Boutros Chidiac,1,14,1,0,0,14,0,0,14,14,False,False,False
42,Bishop Antoun Jbeir,1,21,1,0,0,21,0,0,21,21,False,False,False
42,Father Yousef,1,17,1,0,0,17,0,0,17,17,False,False,False
42,Maronite children of Akkar district,1,12,1,0,0,12,0,0,12,12,False,False,False
42,Elias Asaf,2,53,1,0,1,26,0,27,26,27,False,False,True
42,Muhawwel Harouh,1,16,1,0,0,16,0,0,16,16,False,False,False
42,Father Mikhael Hanna,4,71,2,1,1,38,17,16,16,21,True,True,True
42,Warda El Khoury,1,18,1,0,0,18,0,0,18,18,False,False,False
42,Jean Philipp Kmeid,24,532,5,10,9,96,236,200,5,30,True,True,True
42,Jerji Nicola Khattar al-Chuayri,2,29,1,1,0,11,18,0,11,18,False,True,False
42,Abd al-Hajj,2,27,1,1,0,10,17,0,10,17,False,True,False
42,Michel Saykali,45,791,32,6,7,561,119,111,5,28,True,True,True
42,Hanna Ghayth (Juan Gait),68,934,66,1,1,907,13,14,9,16,True,True,True
42,Yousef Hobeiche,23,432,21,1,1,392,22,18,14,25,True,True,True
42,Angele Ellis,4,75,2,1,1,33,15,27,10,27,True,True,True
42,Yousef Hobeiche & Angele Ellis,1,12,1,0,0,12,0,0,12,12,False,False,False
42,Khalil Yossuf Nader Raad,22,453,20,1,1,410,21,22,5,32,True,True,True
42,Mansour Eid,12,271,10,1,1,228,21,22,18,29,True,True,True
42,Nassif Mansour,1,14,1,0,0,14,0,0,14,14,False,False,False
42,Peter the Patriarch of Antioch,1,24,1,0,0,24,0,0,24,24,False,False,False
42,Youssef,1,21,1,0,0,21,0,0,21,21,False,False,False
42,Mkhayel Meneem,5,123,3,1,1,74,24,25,23,26,True,True,True
42,Constantine Elias,5,84,3,1,1,46,20,18,8,21,True,True,True
42,Maurice Gemayel,6,67,4,1,1,49,6,12,6,17,True,True,True
42,Murshid Habashi,4,96,2,1,1,48,22,26,22,26,True,True,True
42,Father Elias Abi Khair,1,26,1,0,0,26,0,0,26,26,False,False,False
42,Hassan Khalil,2,40,1,0,1,9,0,31,9,31,False,False,True
42,Michel Kahwaji,25,412,23,1,1,374,17,21,6,22,True,True,True
42,Mayor of Kfarshima,13,426,11,1,1,361,33,32,23,40,True,True,True
42,Sohayl Tohmeh,28,848,26,1,1,797,33,18,14,37,True,True,True
42,Shukri Kanaan,4,134,1,2,1,36,66,32,32,36,True,True,True
42,Emily Nasrallah,48,602,46,1,1,578,12,12,8,15,True,True,True
42,Thomas & John Oussani,1,14,1,0,0,14,0,0,14,14,False,False,False
42,Brother of Joseph Oussani,1,28,1,0,0,28,0,0,28,28,False,False,False
42,Joseph Oussani,16,400,14,1,1,349,26,25,23,29,True,True,True
42,Shukri Kordahi,1,32,1,0,0,32,0,0,32,32,False,False,False
42,Negib Aboussouan,1,24,1,0,0,24,0,0,24,24,False,False,False
42,Toubia Hanna Rizk & Touma Chidiac,1,17,1,0,0,17,0,0,17,17,False,False,False
42,Hanna Younes Abboud,1,20,1,0,0,20,0,0,20,20,False,False,False
42,Youssef Bey Al-Helou,1,15,1,0,0,15,0,0,15,15,False,False,False
42,Father Elias,1,10,1,0,0,10,0,0,10,10,False,False,False
42,Magistrate of Batroun,1,17,1,0,0,17,0,0,17,17,False,False,False
42,Jirjis Yuhanna Basil ,1,17,1,0,0,17,0,0,17,17,False,False,False
42,Estephan Adib Salloum,2,53,1,0,1,24,0,29,24,29,False,False,True
42,Father Boulos El-Mender,10,171,4,3,3,56,55,60,12,23,True,True,True
42,Joseph,2,34,1,0,1,13,0,21,13,21,False,False,True
