seed,writer,splits,pages_total,lines_total
1073,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,"test,train,val",20,270
1073,Ameen Rihani,"test,train,val",43,949
1073,Amin Farhat,"test,train,val",3,66
1073,Angele Ellis,"test,train,val",4,75
1073,Asaad Koury Tobia Attallah,"test,train,val",3,42
1073,Assad Darouich Zacharias,"test,train,val",5,94
1073,Bechara El Khoury,"test,train,val",6,107
1073,Bishop Aghnathios Mbarak,"test,train,val",9,163
1073,Bishop Mkhayel Akhrass,"test,train,val",5,93
1073,Bishop Youssef Darian,"test,train,val",9,163
1073,Catherine Yazbek Al-Badawi,"test,train,val",4,67
1073,Elias Sarkis,"test,train,val",18,325
1073,Emily Nasrallah,"test,train,val",48,602
1073,Father Botros Hasan,"test,train,val",6,128
1073,Father Boulos El-Mender,"test,train,val",10,171
1073,Father Elias Bassil,"test,train,val",3,50
1073,Father Mkhayel Zreiby,"test,train,val",9,200
1073,Father Tobia al-Issa,"test,train,val",3,37
1073,Father Youhanna Habib Baysari,"test,train,val",9,198
1073,Father Youssef Hajj,"test,train,val",3,63
1073,Felix Faris,"test,train,val",27,480
1073,Ghnatyos Mbarak,"test,train,val",5,95
1073,Girgi Dimitri Sursock,"test,train,val",8,100
1073,Habib Massoud,"test,train,val",5,100
1073,Hanna Ghayth (Juan Gait),"test,train,val",68,934
1073,Jean Philipp Kmeid,"test,train,val",24,532
1073,Khalil Yossuf Nader Raad,"test,train,val",22,453
1073,Krouger Tobia Attallah,"test,train,val",14,401
1073,Maurice Gemayel,"test,train,val",6,67
1073,May Ziadeh,"test,train,val",12,202
1073,Michel Kahwaji,"test,train,val",25,412
1073,Michel Saykali,"test,train,val",45,791
1073,Mkhayel Daher,"test,train,val",3,73
1073,Patriarch Elias Hoayek,"test,train,val",4,68
1073,Prof. Ign. Kratchkovsky,"test,train,val",6,89
1073,Shibli N. Damus,"test,train,val",13,266
1073,Toufic El Bacha,"test,train,val",6,118
1073,Your son George,"test,train,val",11,135
1073,Yousef Hobeiche,"test,train,val",23,432
1073,Youssef Fadlallah Salemeh,"test,train,val",12,199
1073,Youssef Hanna El-Sawda,"test,train,val",17,339
1073,Zaghloul,"test,train,val",28,505
