seed,writer,splits,pages_total,lines_total
570,Abdulaziz bin Abdul Rahman Al Faisal Al Saud,"test,train,val",20,270
570,Ameen Rihani,"test,train,val",43,949
570,Amin Farhat,"test,train,val",3,66
570,Angele Ellis,"test,train,val",4,75
570,Asaad Koury Tobia Attallah,"test,train,val",3,42
570,Assad Darouich Zacharias,"test,train,val",5,94
570,Aziz Khoury,"test,train,val",3,47
570,Bechara El Khoury,"test,train,val",6,107
570,Bishop Aghnathios Mbarak,"test,train,val",9,163
570,Bishop Boulos Akl,"test,train,val",3,47
570,Bishop Mkhayel Akhrass,"test,train,val",5,93
570,Bishop Youssef Darian,"test,train,val",9,163
570,Botros Feghaly,"test,train,val",3,66
570,Catherine Yazbek Al-Badawi,"test,train,val",4,67
570,Constantine Elias,"test,train,val",5,84
570,Daoud Mujaes,"test,train,val",4,76
570,Eissa alKhouri,"test,train,val",6,127
570,Elias Abu Shabaki,"test,train,val",8,132
570,Elias Sarkis,"test,train,val",18,325
570,Elie Maroun Khalil,"test,train,val",4,69
570,Emily Nasrallah,"test,train,val",48,602
570,Fathallah Khoury,"test,train,val",4,73
570,Father Botros Hasan,"test,train,val",6,128
570,Father Boulos El-Mender,"test,train,val",10,171
570,Father Elias Bassil,"test,train,val",3,50
570,Father Mikhael Hanna,"test,train,val",4,71
570,Father Mkhayel Zreiby,"test,train,val",9,200
570,Father Tobia al-Issa,"test,train,val",3,37
570,Father Youhanna Habib Baysari,"test,train,val",9,198
570,Father Youssef Hajj,"test,train,val",3,63
570,Father Youssef Hanna & Father Botros Hasan,"test,train,val",3,63
570,Felix Faris,"test,train,val",27,480
570,Fouad Chehab,"test,train,val",21,264
570,George Saad,"test,train,val",7,111
570,Ghnatyos Mbarak,"test,train,val",5,95
570,Girgi Dimitri Sursock,"test,train,val",8,100
570,Habib Massoud,"test,train,val",5,100
570,Hanna Ghayth (Juan Gait),"test,train,val",68,934
570,Hanna Moussa,"test,train,val",41,876
570,Ibrahim Mejahid Al-Jaza'eri,"test,train,val",3,62
570,Jean Philipp Kmeid,"test,train,val",24,532
570,Joseph Oussani,"test,train,val",16,400
570,Khalil Yossuf Nader Raad,"test,train,val",22,453
570,Krouger Tobia Attallah,"test,train,val",14,401
570,Mansour Eid,"test,train,val",12,271
570,Maurice Gemayel,"test,train,val",6,67
570,May Ziadeh,"test,train,val",12,202
570,Mayor of Kfarshima,"test,train,val",13,426
570,Michel Kahwaji,"test,train,val",25,412
570,Michel Saykali,"test,train,val",45,791
570,Mkhayel Daher,"test,train,val",3,73
570,Mkhayel Meneem,"test,train,val",5,123
570,Mohammed Amin al-Husseini ,"test,train,val",3,49
570,Murshid Habashi,"test,train,val",4,96
570,Naoum Mokarzel,"test,train,val",3,58
570,Patriarch Elias Hoayek,"test,train,val",4,68
570,Prof. Ign. Kratchkovsky,"test,train,val",6,89
570,Salah Tizani,"test,train,val",48,875
570,Shibli N. Damus,"test,train,val",13,266
570,Shukri Kanaan,"test,train,val",4,134
570,Sister Victor N. Khoury,"test,train,val",3,57
570,Sohayl Tohmeh,"test,train,val",28,848
570,Toufic El Bacha,"test,train,val",6,118
570,Toufiq Wehbeh,"test,train,val",8,157
570,Your nephew Maroun,"test,train,val",4,68
570,Your son George,"test,train,val",11,135
570,Yousef Hobeiche,"test,train,val",23,432
570,Youssef Fadlallah Salemeh,"test,train,val",12,199
570,Youssef Hanna El-Sawda,"test,train,val",17,339
570,Youssef Ibrahim Yazbek,"test,train,val",3,72
570,Zaghloul,"test,train,val",28,505
