writer,documents_total
Michel Saykali,22
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,20
Zaghloul,19
Khalil Yossuf Nader Raad,13
Krouger Tobia Attallah,13
Felix Faris,10
Jean Philipp Kmeid,10
Bishop Youssef Darian,9
Father Boulos El-Mender,9
Ameen Rihani,8
Emily Nasrallah,8
Yousef Hobeiche,7
Youssef Fadlallah Salemeh,7
Maurice Gemayel,6
Bishop Aghnathios Mbarak,5
Bishop Mkhayel Akhrass,5
Father Botros Hasan,5
Habib Massoud,5
Prof. Ign. Kratchkovsky,5
Toufic El Bacha,5
Angele Ellis,4
Catherine Yazbek Al-Badawi,4
Elias Sarkis,4
Father Mkhayel Zreiby,4
Father Youhanna Habib Baysari,4
Girgi Dimitri Sursock,4
Michel Kahwaji,4
Patriarch Elias Hoayek,4
Shibli N. Damus,4
Your son George,4
Amin Farhat,3
Asaad Koury Tobia Attallah,3
Assad Darouich Zacharias,3
Bechara El Khoury,3
Father Elias Bassil,3
Father Tobia al-Issa,3
Father Youssef Hajj,3
Ghnatyos Mbarak,3
Hanna Ghayth (Juan Gait),3
May Ziadeh,3
Mkhayel Daher,3
Youssef Hanna El-Sawda,3
Abd al-Khaliq Farid,2
Aziz Khoury,2
Bishara Mar'i Mansour,2
Bishop Boulos Akl,2
Constantine Elias,2
Elias Karbaj,2
Fathallah Khoury,2
Father Mikhael Hanna,2
Father Youssef Hanna,2
Father Youssef Hanna & Father Botros Hasan,2
George Saad,2
Hanna Moussa,2
Mansour Eid,2
Mayor of Kfarshima,2
Mkhayel Meneem,2
Mohammed Amin al-Husseini,2
Muhammad Hussain Najafi,2
Salah Tizani,2
Your nephew Maroun,2
Youssef Abdullah Maroun,2
Abd al-Hajj,1
Abdallah Daher,1
Abdallah Sfeir,1
Abdo Fares,1
Adham Al Jundi,1
Adib Shiha,1
Ahmed Shakir alKarmi,1
Antoine Richa,1
Antonios Elias,1
Assad Al-Khoury,1
Bishop Antoun Jbeir,1
Bishop Youseef El Khazen,1
Botros El Kfouny,1
Botros Feghaly,1
Brother Ibrahim,1
Brother of Joseph Oussani,1
Dani Al-Sibaqa,1
Daoud Mujaes,1
Daud Barkaat,1
Dr. Abdo Harb,1
Eissa alKhouri,1
Elia Abu Madi,1
Elias Abdallah,1
Elias Abu Shabaki,1
Elias Asaf,1
Elie Maroun Khalil,1
Estephan Adib Salloum,1
Father Botros Dib,1
Father Boutros Chidiac,1
Father Elias,1
Father Elias Abi Khair,1
Father Elias Najm,1
Father Jerjes El Alam,1
Father Yaacoub Awad,1
Father Youhanna El Khoury,1
Father Yousef,1
Father Youssef Iskandar,1
Father Youssef Nassar,1
Fouad Chehab,1
Francis Hcheme,1
Francis Lahoud,1
Georges Jarjoura,1
Habib,1
Habib Abdallah al-Khoury,1
Habib Abi Rached,1
Habib Boulos Nasr,1
Halim Khoury Saadeh,1
Hanna Estphan,1
Hanna Younes Abboud,1
Hassan Khalil,1
Ibrahim Mejahid Al-Jaza'eri,1
Jamil Youssef Noah,1
Jarhas Hanna Al-Shabtini,1
Jebrayel Sa'd al 'Alam,1
JerJi Ass'ad Nader,1
Jerji Nicola Khattar al-Chuayri,1
Jirjis Yuhanna Basil,1
Jirjis alKsus,1
Joseph,1
Joseph Oussani,1
K. John,1
Keserwan Finance Officer,1
Lebanese immigrants,1
Magistrate of Batroun,1
Malvina Choieree,1
Margaret El Haddad,1
Maronite Bishop of Sidon,1
Maronite children of Akkar district,1
Maroun Al-Khoury Maroun,1
Mary Khoury,1
Maurice Paul Sarrail,1
Mkhayel & Ibrahim Daher,1
Mousssa Farhat Farah,1
Muhawwel Harouh,1
Murshid Habashi,1
Nadim Attallah,1
Najib Ayoub,1
Naoum Mokarzel,1
Nassar Tanios Al Samarani,1
Nassif Mansour,1
Negib Aboussouan,1
Nehad,1
Nehme Elias Mikhail,1
People of Rablah,1
Peter the Patriarch of Antioch,1
Rahma Raad,1
Salim Maalouf,1
Sally Aad,1
Serhal Maroun 'Tiyyeh,1
Serhal Ounaissy,1
Shibli Barakat witnesses,1
Shukri Kanaan,1
Shukri Kordahi,1
Sister Victor N. Khoury,1
Slayman al-Farkh,1
Sohayl Tohmeh,1
Talaat,1
Tanios Zakhia Elias Basil,1
Tannous Semaan,1
Tanos Youssef Harfouche,1
Tawfiq,1
Thomas & John Oussani,1
Toubia Hanna Rizk & Touma Chidiac,1
Toufiq Wehbeh,1
Victor Shemil,1
Wadih Salim Karam,1
Warda El Khoury,1
Yahia Mansour & Asaad Koury,1
Youhanna Sfeir,1
Yousef Hobeiche & Angele Ellis,1
Youssef,1
Youssef Bey Al-Helou,1
Youssef Ibrahim,1
Youssef Ibrahim Yazbek,1
Youssef Moussa Sadaqa,1
Youssef Nakad,1
Zaghloul ad-Damour,1
