writer,lines_total
Ameen Rihani,949
Hanna Ghayth (Juan Gait),934
Hanna Moussa,876
Salah Tizani,875
Sohayl Tohmeh,848
Michel Saykali,791
Emily Nasrallah,602
Jean Philipp Kmeid,532
Zaghloul,505
Felix Faris,480
Khalil Yossuf Nader Raad,453
Yousef Hobeiche,432
Mayor of Kfarshima,426
Michel Kahwaji,412
Krouger Tobia Attallah,401
Joseph Oussani,400
Youssef Hanna El-Sawda,339
Elias Sarkis,325
Mansour Eid,271
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,270
Shibli N. Damus,266
Fouad Chehab,264
May Ziadeh,202
Father Mkhayel Zreiby,200
Youssef Fadlallah Salemeh,199
Father Youhanna Habib Baysari,198
Father Boulos El-Mender,171
Bishop Aghnathios Mbarak,163
Bishop Youssef Darian,163
Toufiq Wehbeh,157
Your son George,135
Shukri Kanaan,134
Elias Abu Shabaki,132
Father Botros Hasan,128
Eissa alKhouri,127
Mkhayel Meneem,123
Toufic El Bacha,118
George Saad,111
Bechara El Khoury,107
Girgi Dimitri Sursock,100
Habib Massoud,100
Murshid Habashi,96
Ghnatyos Mbarak,95
Assad Darouich Zacharias,94
Bishop Mkhayel Akhrass,93
Prof. Ign. Kratchkovsky,89
Constantine Elias,84
Daoud Mujaes,76
Angele Ellis,75
Fathallah Khoury,73
Mkhayel Daher,73
Youssef Ibrahim Yazbek,72
Father Mikhael Hanna,71
Elie Maroun Khalil,69
Patriarch Elias Hoayek,68
Your nephew Maroun,68
Catherine Yazbek Al-Badawi,67
Maurice Gemayel,67
Amin Farhat,66
Botros Feghaly,66
Father Youssef Hajj,63
Father Youssef Hanna & Father Botros Hasan,63
Ibrahim Mejahid Al-Jaza'eri,62
Naoum Mokarzel,58
Sister Victor N. Khoury,57
Abd al-Khaliq Farid,53
Elias Asaf,53
Estephan Adib Salloum,53
Father Elias Najm,53
Father Elias Bassil,50
Mohammed Amin al-Husseini,49
Aziz Khoury,47
Bishop Boulos Akl,47
Father Youssef Hanna,46
Halim Khoury Saadeh,44
Asaad Koury Tobia Attallah,42
Bishara Mar'i Mansour,42
Hassan Khalil,40
Margaret El Haddad,40
Najib Ayoub,40
Maronite Bishop of Sidon,38
Father Tobia al-Issa,37
Maroun Al-Khoury Maroun,37
Maurice Paul Sarrail,37
Youssef Ibrahim,37
Mkhayel & Ibrahim Daher,36
Elia Abu Madi,35
Lebanese immigrants,35
Youhanna Sfeir,35
Hanna Estphan,34
Joseph,34
Elias Karbaj,32
Father Youhanna El Khoury,32
Muhammad Hussain Najafi,32
Shukri Kordahi,32
Talaat,30
Youssef Abdullah Maroun,30
Jerji Nicola Khattar al-Chuayri,29
Brother of Joseph Oussani,28
Jamil Youssef Noah,28
Abd al-Hajj,27
Father Elias Abi Khair,26
Jirjis alKsus,26
Nadim Attallah,26
Antoine Richa,25
Father Botros Dib,25
Adib Shiha,24
Dani Al-Sibaqa,24
Negib Aboussouan,24
Peter the Patriarch of Antioch,24
Father Youssef Iskandar,23
Sally Aad,23
Bishop Youseef El Khazen,22
Dr. Abdo Harb,22
Habib Abdallah al-Khoury,22
Youssef Nakad,22
Bishop Antoun Jbeir,21
Francis Hcheme,21
Habib Abi Rached,21
Serhal Maroun 'Tiyyeh,21
Wadih Salim Karam,21
Youssef,21
Abdallah Sfeir,20
Assad Al-Khoury,20
Elias Abdallah,20
Father Jerjes El Alam,20
Francis Lahoud,20
Habib Boulos Nasr,20
Hanna Younes Abboud,20
Malvina Choieree,20
Tanos Youssef Harfouche,20
Antonios Elias,19
Daud Barkaat,19
Father Yaacoub Awad,19
Jebrayel Sa'd al 'Alam,19
Zaghloul ad-Damour,19
Habib,18
Nehad,18
Slayman al-Farkh,18
Warda El Khoury,18
Abdo Fares,17
Father Yousef,17
Jarhas Hanna Al-Shabtini,17
Jirjis Yuhanna Basil,17
Magistrate of Batroun,17
Nassar Tanios Al Samarani,17
Serhal Ounaissy,17
Tawfiq,17
Toubia Hanna Rizk & Touma Chidiac,17
Botros El Kfouny,16
Father Youssef Nassar,16
Muhawwel Harouh,16
Salim Maalouf,16
Tannous Semaan,16
Youssef Moussa Sadaqa,16
Adham Al Jundi,15
Ahmed Shakir alKarmi,15
Brother Ibrahim,15
Georges Jarjoura,15
K. John,15
Mary Khoury,15
People of Rablah,15
Yahia Mansour & Asaad Koury,15
Youssef Bey Al-Helou,15
Father Boutros Chidiac,14
JerJi Ass'ad Nader,14
Keserwan Finance Officer,14
Mousssa Farhat Farah,14
Nassif Mansour,14
Rahma Raad,14
Tanios Zakhia Elias Basil,14
Thomas & John Oussani,14
Abdallah Daher,13
Maronite children of Akkar district,12
Nehme Elias Mikhail,12
Victor Shemil,12
Yousef Hobeiche & Angele Ellis,12
Shibli Barakat witnesses,11
Father Elias,10
