writer,pages_total
Hanna Ghayth (Juan Gait),68
Emily Nasrallah,48
Salah Tizani,48
Michel Saykali,45
Ameen Rihani,43
Hanna Moussa,41
Sohayl Tohmeh,28
Zaghloul,28
Felix Faris,27
Michel Kahwaji,25
Jean Philipp Kmeid,24
Yousef Hobeiche,23
Khalil Yossuf Nader Raad,22
Fouad Chehab,21
Abdulaziz bin Abdul Rahman Al Faisal Al Saud,20
Elias Sarkis,18
Youssef Hanna El-Sawda,17
Joseph Oussani,16
Krouger Tobia Attallah,14
Mayor of Kfarshima,13
Shibli N. Damus,13
Mansour Eid,12
May Ziadeh,12
Youssef Fadlallah Salemeh,12
Your son George,11
Father Boulos El-Mender,10
Bishop Aghnathios Mbarak,9
Bishop Youssef Darian,9
Father Mkhayel Zreiby,9
Father Youhanna Habib Baysari,9
Elias Abu Shabaki,8
Girgi Dimitri Sursock,8
Toufiq Wehbeh,8
George Saad,7
Bechara El Khoury,6
Eissa alKhouri,6
Father Botros Hasan,6
Maurice Gemayel,6
Prof. Ign. Kratchkovsky,6
Toufic El Bacha,6
Assad Darouich Zacharias,5
Bishop Mkhayel Akhrass,5
Constantine Elias,5
Ghnatyos Mbarak,5
Habib Massoud,5
Mkhayel Meneem,5
Angele Ellis,4
Catherine Yazbek Al-Badawi,4
Daoud Mujaes,4
Elie Maroun Khalil,4
Fathallah Khoury,4
Father Mikhael Hanna,4
Murshid Habashi,4
Patriarch Elias Hoayek,4
Shukri Kanaan,4
Your nephew Maroun,4
Amin Farhat,3
Asaad Koury Tobia Attallah,3
Aziz Khoury,3
Bishop Boulos Akl,3
Botros Feghaly,3
Father Elias Bassil,3
Father Tobia al-Issa,3
Father Youssef Hajj,3
Father Youssef Hanna & Father Botros Hasan,3
Ibrahim Mejahid Al-Jaza'eri,3
Mkhayel Daher,3
Mohammed Amin al-Husseini,3
Naoum Mokarzel,3
Sister Victor N. Khoury,3
Youssef Ibrahim Yazbek,3
Abd al-Hajj,2
Abd al-Khaliq Farid,2
Bishara Mar'i Mansour,2
Elia Abu Madi,2
Elias Asaf,2
Elias Karbaj,2
Estephan Adib Salloum,2
Father Elias Najm,2
Father Youhanna El Khoury,2
Father Youssef Hanna,2
Halim Khoury Saadeh,2
Hanna Estphan,2
Hassan Khalil,2
Jamil Youssef Noah,2
Jerji Nicola Khattar al-Chuayri,2
Jirjis alKsus,2
Joseph,2
Lebanese immigrants,2
Margaret El Haddad,2
Maronite Bishop of Sidon,2
Maroun Al-Khoury Maroun,2
Maurice Paul Sarrail,2
Mkhayel & Ibrahim Daher,2
Muhammad Hussain Najafi,2
Najib Ayoub,2
Nehad,2
Talaat,2
Youhanna Sfeir,2
Youssef Abdullah Maroun,2
Youssef Ibrahim,2
Abdallah Daher,1
Abdallah Sfeir,1
Abdo Fares,1
Adham Al Jundi,1
Adib Shiha,1
Ahmed Shakir alKarmi,1
Antoine Richa,1
Antonios Elias,1
Assad Al-Khoury,1
Bishop Antoun Jbeir,1
Bishop Youseef El Khazen,1
Botros El Kfouny,1
Brother Ibrahim,1
Brother of Joseph Oussani,1
Dani Al-Sibaqa,1
Daud Barkaat,1
Dr. Abdo Harb,1
Elias Abdallah,1
Father Botros Dib,1
Father Boutros Chidiac,1
Father Elias,1
Father Elias Abi Khair,1
Father Jerjes El Alam,1
Father Yaacoub Awad,1
Father Yousef,1
Father Youssef Iskandar,1
Father Youssef Nassar,1
Francis Hcheme,1
Francis Lahoud,1
Georges Jarjoura,1
Habib,1
Habib Abdallah al-Khoury,1
Habib Abi Rached,1
Habib Boulos Nasr,1
Hanna Younes Abboud,1
Jarhas Hanna Al-Shabtini,1
Jebrayel Sa'd al 'Alam,1
JerJi Ass'ad Nader,1
Jirjis Yuhanna Basil,1
K. John,1
Keserwan Finance Officer,1
Magistrate of Batroun,1
Malvina Choieree,1
Maronite children of Akkar district,1
Mary Khoury,1
Mousssa Farhat Farah,1
Muhawwel Harouh,1
Nadim Attallah,1
Nassar Tanios Al Samarani,1
Nassif Mansour,1
Negib Aboussouan,1
Nehme Elias Mikhail,1
People of Rablah,1
Peter the Patriarch of Antioch,1
Rahma Raad,1
Salim Maalouf,1
Sally Aad,1
Serhal Maroun 'Tiyyeh,1
Serhal Ounaissy,1
Shibli Barakat witnesses,1
Shukri Kordahi,1
Slayman al-Farkh,1
Tanios Zakhia Elias Basil,1
Tannous Semaan,1
Tanos Youssef Harfouche,1
Tawfiq,1
Thomas & John Oussani,1
Toubia Hanna Rizk & Touma Chidiac,1
Victor Shemil,1
Wadih Salim Karam,1
Warda El Khoury,1
Yahia Mansour & Asaad Koury,1
Yousef Hobeiche & Angele Ellis,1
Youssef,1
Youssef Bey Al-Helou,1
Youssef Moussa Sadaqa,1
Youssef Nakad,1
Zaghloul ad-Damour,1
